#Scenario,TradeId,NettingSetId,CVA,DVA,FBA,FCA,FBAexOwnSP,FCAexOwnSP,FBAexAllSP,FCAexAllSP,COLVA,MVA,OurKVACCR,TheirKVACCR,OurKVACVA,TheirKVACVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
BASE,,CPTY_A,91876.74,787251.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,91876.74,787251.31,None,6425.16,6425.16
BASE,Swap_20y,CPTY_A,159509.21,361844.46,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,75161.11,75161.11
BASE,Swap_20y_USD,CPTY_A,42065.89,535105.21,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,2082.72,2082.72
IndexCurve/EUR-EURIBOR-6M/19,,CPTY_A,92953.76,784821.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92953.76,784821.42,None,6426.48,6426.48
IndexCurve/EUR-EURIBOR-6M/19,Swap_20y,CPTY_A,161063.81,359876.63,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,75166.02,75166.02
IndexCurve/EUR-EURIBOR-6M/19,Swap_20y_USD,CPTY_A,42072.89,535127.73,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,2082.94,2082.94
IndexCurve/EUR-EURIBOR-6M/20,,CPTY_A,77785.27,840169.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77785.27,840169.87,None,5056.37,5056.37
IndexCurve/EUR-EURIBOR-6M/20,Swap_20y,CPTY_A,135818.07,405265.40,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,57303.24,57303.24
IndexCurve/EUR-EURIBOR-6M/20,Swap_20y_USD,CPTY_A,42058.74,534996.01,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,2081.33,2081.33
SwaptionVolatility/EUR/41,,CPTY_A,91876.74,787251.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,91876.74,787251.31,None,6425.16,6425.16
SwaptionVolatility/EUR/41,Swap_20y,CPTY_A,159509.21,361844.46,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,75161.11,75161.11
SwaptionVolatility/EUR/41,Swap_20y_USD,CPTY_A,42065.89,535105.21,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,2082.72,2082.72
SwaptionVolatility/EUR/51,,CPTY_A,91043.02,786754.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,91043.02,786754.20,None,6408.02,6408.02
SwaptionVolatility/EUR/51,Swap_20y,CPTY_A,156770.20,357523.97,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,75203.02,75203.02
SwaptionVolatility/EUR/51,Swap_20y_USD,CPTY_A,41466.37,536423.77,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,2082.72,2082.72
SwaptionVolatility/EUR/52,,CPTY_A,91876.74,787251.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,91876.74,787251.31,None,6425.16,6425.16
SwaptionVolatility/EUR/52,Swap_20y,CPTY_A,159509.21,361844.46,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,75161.11,75161.11
SwaptionVolatility/EUR/52,Swap_20y_USD,CPTY_A,42065.89,535105.21,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,2082.72,2082.72
SurvivalProbability/CPTY_A/3,,CPTY_A,84525.62,787251.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84525.62,787251.31,None,6425.16,6425.16
SurvivalProbability/CPTY_A/3,Swap_20y,CPTY_A,152270.70,361844.46,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,75161.11,75161.11
SurvivalProbability/CPTY_A/3,Swap_20y_USD,CPTY_A,38241.02,535105.21,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,2082.72,2082.72
SurvivalProbability/CPTY_A/4,,CPTY_A,104124.22,787251.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,104124.22,787251.31,None,6425.16,6425.16
SurvivalProbability/CPTY_A/4,Swap_20y,CPTY_A,185565.84,361844.46,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,75161.11,75161.11
SurvivalProbability/CPTY_A/4,Swap_20y_USD,CPTY_A,50245.19,535105.21,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,2082.72,2082.72
t1,,CPTY_A,81990.97,837013.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,81990.97,837013.67,None,5040.10,5040.10
t1,Swap_20y,CPTY_A,150278.88,398438.44,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,57352.07,57352.07
t1,Swap_20y_USD,CPTY_A,45831.06,536348.12,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,2081.56,2081.56
