#TradeId,NettingSet,CVA_Base,CVA,Change,IndexCurve,SwaptionVolatility,SurvivalProbability
,,91792.8162,81893.6747,-9899.1415,-13004.1676,-836.3359,4870.4298
Swap_20y,Swap_20y,159509.2148,150278.8754,-9230.3394,-22136.5496,-2739.0104,18818.1117
Swap_20y_USD,Swap_20y_USD,41968.8232,45707.9085,3739.0853,-0.1460,-598.6808,4327.0392
