#TradeId,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,Notional,NotionalCurrency,Notional(Base),NettingSet,CounterParty
FXFWD_EUR_CHF_3M,FxForward,2016-05-06,0.248634,0.000000,CHF,0.000000,EUR,1123248.10,CHF,998401.93,CPTY_A,CPTY_A
FXFWD_EUR_CHF_6M,FxForward,2016-08-05,0.497268,0.000000,CHF,0.000000,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
FXFWD_EUR_GBP_12M,FxForward,2017-02-06,1.003002,0.000000,GBP,0.000000,EUR,820223.82,GBP,1010204.99,CPTY_A,CPTY_A
FXFWD_EUR_GBP_3M,FxForward,2016-05-05,0.245902,0.000000,GBP,0.000000,EUR,813857.98,GBP,1002364.69,CPTY_A,CPTY_A
FXFWD_EUR_GBP_6M,FxForward,2016-08-05,0.497268,0.000000,GBP,0.000000,EUR,815872.11,GBP,1004845.33,CPTY_A,CPTY_A
FXFWD_EUR_GBP_9M,FxForward,2016-11-07,0.754098,0.000000,GBP,0.000000,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
FXFWD_EUR_USD_12M,FxForward,2017-02-06,1.003002,0.000000,USD,0.000000,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
FXFWD_EUR_USD_3M,FxForward,2016-05-05,0.245902,0.000000,USD,0.000000,EUR,1135348.74,USD,1002659.76,CPTY_A,CPTY_A
FXFWD_EUR_USD_6M,FxForward,2016-08-05,0.497268,0.000000,USD,0.000000,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
FXFWD_EUR_USD_9M,FxForward,2016-11-07,0.754098,0.000000,USD,0.000000,EUR,1143023.27,USD,1009437.36,CPTY_A,CPTY_A
xccyBasisSwap_EUR_3M_CHF_3M_10Y,Swap,2026-02-09,10.011221,0.000000,EUR,0.000000,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
xccyBasisSwap_EUR_3M_CHF_3M_15Y,Swap,2031-02-10,15.013961,0.000000,EUR,0.000000,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
xccyBasisSwap_EUR_3M_CHF_3M_20Y,Swap,2036-02-11,20.016393,0.000000,EUR,0.000000,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
xccyBasisSwap_EUR_3M_CHF_3M_2Y,Swap,2018-02-09,2.011221,0.000000,EUR,0.000000,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
xccyBasisSwap_EUR_3M_CHF_3M_3Y,Swap,2019-02-11,3.016700,0.000000,EUR,0.000000,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
xccyBasisSwap_EUR_3M_CHF_3M_4Y,Swap,2020-02-10,4.013661,0.000000,EUR,0.000000,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
xccyBasisSwap_EUR_3M_CHF_3M_5Y,Swap,2021-02-09,5.011221,0.000000,EUR,0.000000,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
xccyBasisSwap_EUR_3M_CHF_3M_7Y,Swap,2023-02-09,7.011221,0.000000,EUR,0.000000,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
xccyBasisSwap_EUR_3M_GBP_3M_10Y,Swap,2026-02-09,10.011221,0.000000,EUR,0.000000,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
xccyBasisSwap_EUR_3M_GBP_3M_15Y,Swap,2031-02-10,15.013961,0.000000,EUR,0.000000,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
xccyBasisSwap_EUR_3M_GBP_3M_20Y,Swap,2036-02-11,20.016393,0.000000,EUR,0.000000,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
xccyBasisSwap_EUR_3M_GBP_3M_2Y,Swap,2018-02-09,2.011221,0.000000,EUR,0.000000,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
xccyBasisSwap_EUR_3M_GBP_3M_30Y,Swap,2046-02-09,30.011221,0.000000,EUR,0.000000,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
xccyBasisSwap_EUR_3M_GBP_3M_3Y,Swap,2019-02-11,3.016700,0.000000,EUR,0.000000,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
xccyBasisSwap_EUR_3M_GBP_3M_40Y,Swap,2056-02-09,40.010929,0.000000,EUR,0.000000,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
xccyBasisSwap_EUR_3M_GBP_3M_4Y,Swap,2020-02-10,4.013661,0.000000,EUR,0.000000,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
xccyBasisSwap_EUR_3M_GBP_3M_50Y,Swap,2066-02-09,50.011221,0.000000,EUR,0.000000,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
xccyBasisSwap_EUR_3M_GBP_3M_5Y,Swap,2021-02-09,5.011221,0.000000,EUR,0.000000,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
xccyBasisSwap_EUR_3M_GBP_3M_7Y,Swap,2023-02-09,7.011221,0.000000,EUR,0.000000,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
