#TradeId,Scenario Label,Up/Down,Base NPV,Scenario NPV,Sensitivity
CC_SWAP_EUR_USD,DISCOUNT/EUR/0/6M,Up,-21226633.935174,-21226600.320821,33.614353
CC_SWAP_EUR_USD,DISCOUNT/EUR/1/1Y,Up,-21226633.935174,-21226536.607326,97.327848
CC_SWAP_EUR_USD,DISCOUNT/EUR/2/2Y,Up,-21226633.935174,-21226370.498811,263.436363
CC_SWAP_EUR_USD,DISCOUNT/EUR/3/3Y,Up,-21226633.935174,-21225933.279242,700.655932
CC_SWAP_EUR_USD,DISCOUNT/EUR/4/5Y,Up,-21226633.935174,-21224749.318568,1884.616606
CC_SWAP_EUR_USD,DISCOUNT/EUR/5/7Y,Up,-21226633.935174,-21222465.019950,4168.915224
CC_SWAP_EUR_USD,DISCOUNT/EUR/6/10Y,Up,-21226633.935174,-21137233.702391,89400.232783
CC_SWAP_EUR_USD,DISCOUNT/USD/0/6M,Up,-21226633.935174,-21226653.052236,-19.117062
CC_SWAP_EUR_USD,DISCOUNT/USD/1/1Y,Up,-21226633.935174,-21226691.080331,-57.145157
CC_SWAP_EUR_USD,DISCOUNT/USD/2/2Y,Up,-21226633.935174,-21226765.890912,-131.955738
CC_SWAP_EUR_USD,DISCOUNT/USD/3/3Y,Up,-21226633.935174,-21227120.594225,-486.659051
CC_SWAP_EUR_USD,DISCOUNT/USD/4/5Y,Up,-21226633.935174,-21227943.863998,-1309.928824
CC_SWAP_EUR_USD,DISCOUNT/USD/5/7Y,Up,-21226633.935174,-21229310.951780,-2677.016606
CC_SWAP_EUR_USD,DISCOUNT/USD/6/10Y,Up,-21226633.935174,-21300141.407412,-73507.472238
CC_SWAP_EUR_USD,FXSPOT/USDEUR,Up,-21226633.935174,-20395071.293282,831562.641892
CC_SWAP_EUR_USD,INDEX/EUR-EURIBOR-6M/0/6M,Up,-21226633.935174,-21222217.994981,4415.940193
CC_SWAP_EUR_USD,INDEX/EUR-EURIBOR-6M/1/1Y,Up,-21226633.935174,-21226609.146534,24.788640
CC_SWAP_EUR_USD,INDEX/EUR-EURIBOR-6M/2/2Y,Up,-21226633.935174,-21226575.971557,57.963617
CC_SWAP_EUR_USD,INDEX/EUR-EURIBOR-6M/3/3Y,Up,-21226633.935174,-21226581.566941,52.368233
CC_SWAP_EUR_USD,INDEX/EUR-EURIBOR-6M/4/5Y,Up,-21226633.935174,-21226880.019316,-246.084142
CC_SWAP_EUR_USD,INDEX/EUR-EURIBOR-6M/5/7Y,Up,-21226633.935174,-21228058.434335,-1424.499161
CC_SWAP_EUR_USD,INDEX/EUR-EURIBOR-6M/6/10Y,Up,-21226633.935174,-21313511.677765,-86877.742591
CC_SWAP_EUR_USD,INDEX/USD-LIBOR-6M/0/6M,Up,-21226633.935174,-21231015.196132,-4381.260958
CC_SWAP_EUR_USD,INDEX/USD-LIBOR-6M/1/1Y,Up,-21226633.935174,-21226509.849916,124.085258
CC_SWAP_EUR_USD,INDEX/USD-LIBOR-6M/2/2Y,Up,-21226633.935174,-21226368.259200,265.675974
CC_SWAP_EUR_USD,INDEX/USD-LIBOR-6M/3/3Y,Up,-21226633.935174,-21225896.346399,737.588775
CC_SWAP_EUR_USD,INDEX/USD-LIBOR-6M/4/5Y,Up,-21226633.935174,-21224747.111165,1886.824009
CC_SWAP_EUR_USD,INDEX/USD-LIBOR-6M/5/7Y,Up,-21226633.935174,-21223076.546276,3557.388898
CC_SWAP_EUR_USD,INDEX/USD-LIBOR-6M/6/10Y,Up,-21226633.935174,-21152520.694231,74113.240942
CC_SWAP_EUR_USD_RESET,DISCOUNT/EUR/0/6M,Up,-19905885.289110,-19905858.661774,26.627336
CC_SWAP_EUR_USD_RESET,DISCOUNT/EUR/1/1Y,Up,-19905885.289110,-19905800.318879,84.970232
CC_SWAP_EUR_USD_RESET,DISCOUNT/EUR/2/2Y,Up,-19905885.289110,-19905588.606576,296.682534
CC_SWAP_EUR_USD_RESET,DISCOUNT/EUR/3/3Y,Up,-19905885.289110,-19905151.620363,733.668748
CC_SWAP_EUR_USD_RESET,DISCOUNT/EUR/4/5Y,Up,-19905885.289110,-19903985.698411,1899.590700
CC_SWAP_EUR_USD_RESET,DISCOUNT/EUR/5/7Y,Up,-19905885.289110,-19902258.389985,3626.899126
CC_SWAP_EUR_USD_RESET,DISCOUNT/EUR/6/10Y,Up,-19905885.289110,-19830903.113344,74982.175766
CC_SWAP_EUR_USD_RESET,DISCOUNT/USD/0/6M,Up,-19905885.289110,-19905871.890660,13.398450
CC_SWAP_EUR_USD_RESET,DISCOUNT/USD/1/1Y,Up,-19905885.289110,-19905822.536275,62.752836
CC_SWAP_EUR_USD_RESET,DISCOUNT/USD/2/2Y,Up,-19905885.289110,-19905703.833136,181.455974
CC_SWAP_EUR_USD_RESET,DISCOUNT/USD/3/3Y,Up,-19905885.289110,-19905660.314421,224.974690
CC_SWAP_EUR_USD_RESET,DISCOUNT/USD/4/5Y,Up,-19905885.289110,-19905702.089974,183.199137
CC_SWAP_EUR_USD_RESET,DISCOUNT/USD/5/7Y,Up,-19905885.289110,-19906176.780210,-291.491100
CC_SWAP_EUR_USD_RESET,DISCOUNT/USD/6/10Y,Up,-19905885.289110,-19977757.363346,-71872.074236
CC_SWAP_EUR_USD_RESET,FXSPOT/USDEUR,Up,-19905885.289110,-19213928.678289,691956.610822
CC_SWAP_EUR_USD_RESET,INDEX/EUR-EURIBOR-6M/0/6M,Up,-19905885.289110,-19901495.132818,4390.156292
CC_SWAP_EUR_USD_RESET,INDEX/EUR-EURIBOR-6M/1/1Y,Up,-19905885.289110,-19906017.052478,-131.763368
CC_SWAP_EUR_USD_RESET,INDEX/EUR-EURIBOR-6M/2/2Y,Up,-19905885.289110,-19906041.466564,-156.177453
CC_SWAP_EUR_USD_RESET,INDEX/EUR-EURIBOR-6M/3/3Y,Up,-19905885.289110,-19906655.620682,-770.331571
CC_SWAP_EUR_USD_RESET,INDEX/EUR-EURIBOR-6M/4/5Y,Up,-19905885.289110,-19907837.707948,-1952.418837
CC_SWAP_EUR_USD_RESET,INDEX/EUR-EURIBOR-6M/5/7Y,Up,-19905885.289110,-19909499.614105,-3614.324994
CC_SWAP_EUR_USD_RESET,INDEX/EUR-EURIBOR-6M/6/10Y,Up,-19905885.289110,-19980326.200838,-74440.911728
CC_SWAP_EUR_USD_RESET,INDEX/USD-LIBOR-6M/0/6M,Up,-19905885.289110,-19910266.550068,-4381.260958
CC_SWAP_EUR_USD_RESET,INDEX/USD-LIBOR-6M/1/1Y,Up,-19905885.289110,-19905761.203852,124.085258
CC_SWAP_EUR_USD_RESET,INDEX/USD-LIBOR-6M/2/2Y,Up,-19905885.289110,-19905619.613137,265.675974
CC_SWAP_EUR_USD_RESET,INDEX/USD-LIBOR-6M/3/3Y,Up,-19905885.289110,-19905147.700335,737.588775
CC_SWAP_EUR_USD_RESET,INDEX/USD-LIBOR-6M/4/5Y,Up,-19905885.289110,-19903998.465102,1886.824009
CC_SWAP_EUR_USD_RESET,INDEX/USD-LIBOR-6M/5/7Y,Up,-19905885.289110,-19902327.900212,3557.388898
CC_SWAP_EUR_USD_RESET,INDEX/USD-LIBOR-6M/6/10Y,Up,-19905885.289110,-19831772.048168,74113.240942
FLOOR_EUR,CAPFLOOR/EUR/0/0.01/0/1Y,Up,78342.159944,78348.623422,6.463478
FLOOR_EUR,CAPFLOOR/EUR/0/0.01/1/2Y,Up,78342.159944,78367.943609,25.783666
FLOOR_EUR,CAPFLOOR/EUR/0/0.01/2/3Y,Up,78342.159944,78433.840087,91.680143
