#TradeId,Factor,Base NPV,Delta*Shift,ParDelta*Shift,Gamma*Shift^2,ParGamma*Shift^2
CAP_EUR,CAPFLOOR/EUR/3/0.04/0/1Y,-7215.869941,-0.223333,-0.966091,-0.011578,N/A
CAP_EUR,CAPFLOOR/EUR/3/0.04/1/2Y,-7215.869941,-2.268040,1.792100,-0.095783,N/A
CAP_EUR,CAPFLOOR/EUR/3/0.04/2/3Y,-7215.869941,-17.353275,-1.301387,-0.418681,N/A
CAP_EUR,CAPFLOOR/EUR/3/0.04/3/5Y,-7215.869941,-58.417238,1.030877,-0.923951,N/A
CAP_EUR,CAPFLOOR/EUR/3/0.04/4/7Y,-7215.869941,-138.159604,-0.451522,-1.422425,N/A
CAP_EUR,CAPFLOOR/EUR/3/0.04/5/10Y,-7215.869941,-81.661956,-280.335658,-0.755134,N/A
CAP_EUR,DISCOUNT/EUR/1/1Y,-7215.869941,0.000021,0.068990,-0.000000,N/A
CAP_EUR,DISCOUNT/EUR/2/2Y,-7215.869941,0.001899,0.138241,-0.000000,N/A
CAP_EUR,DISCOUNT/EUR/3/3Y,-7215.869941,0.054724,0.306233,-0.000010,N/A
CAP_EUR,DISCOUNT/EUR/4/5Y,-7215.869941,0.488578,0.675509,-0.000162,N/A
CAP_EUR,DISCOUNT/EUR/5/7Y,-7215.869941,2.217983,1.122755,-0.001032,N/A
CAP_EUR,DISCOUNT/EUR/6/10Y,-7215.869941,2.880437,1.881677,-0.002078,N/A
CAP_EUR,DISCOUNT/EUR/7/15Y,-7215.869941,0.002640,-0.003702,-0.000000,N/A
CAP_EUR,INDEX/EUR-EURIBOR-6M/0/6M,-7215.869941,0.000041,-0.005812,-0.000002,N/A
CAP_EUR,INDEX/EUR-EURIBOR-6M/1/1Y,-7215.869941,0.093803,-0.004448,-0.002277,N/A
CAP_EUR,INDEX/EUR-EURIBOR-6M/2/2Y,-7215.869941,1.209981,0.269683,-0.055824,N/A
CAP_EUR,INDEX/EUR-EURIBOR-6M/3/3Y,-7215.869941,7.641991,4.213799,-0.268967,N/A
CAP_EUR,INDEX/EUR-EURIBOR-6M/4/5Y,-7215.869941,24.624536,25.127664,-1.303959,N/A
CAP_EUR,INDEX/EUR-EURIBOR-6M/5/7Y,-7215.869941,35.570304,58.298564,-3.166837,N/A
CAP_EUR,INDEX/EUR-EURIBOR-6M/6/10Y,-7215.869941,-137.925876,-152.036008,-3.074474,N/A
CAP_EUR,INDEX/EUR-EURIBOR-6M/7/15Y,-7215.869941,-0.442794,-0.055238,-0.000199,N/A
CAP_USD,CAPFLOOR/USD/3/0.04/0/1Y,-12694.908975,-0.525008,-0.062304,-0.022181,N/A
CAP_USD,CAPFLOOR/USD/3/0.04/1/2Y,-12694.908975,-6.406489,0.172252,-0.168079,N/A
CAP_USD,CAPFLOOR/USD/3/0.04/2/3Y,-12694.908975,-36.764154,-0.291041,-0.429402,N/A
CAP_USD,CAPFLOOR/USD/3/0.04/3/5Y,-12694.908975,-83.695333,0.330047,-0.633765,N/A
CAP_USD,CAPFLOOR/USD/3/0.04/4/7Y,-12694.908975,-150.429587,0.149291,-0.732277,N/A
CAP_USD,CAPFLOOR/USD/3/0.04/5/10Y,-12694.908975,-94.235839,-358.089941,-0.361422,N/A
CAP_USD,DISCOUNT/USD/1/1Y,-12694.908975,0.000177,0.057432,-0.000000,N/A
CAP_USD,DISCOUNT/USD/2/2Y,-12694.908975,0.011993,0.153040,-0.000001,N/A
CAP_USD,DISCOUNT/USD/3/3Y,-12694.908975,0.241568,0.346269,-0.000046,N/A
CAP_USD,DISCOUNT/USD/4/5Y,-12694.908975,1.225393,0.974852,-0.000410,N/A
CAP_USD,DISCOUNT/USD/5/7Y,-12694.908975,3.647754,2.454872,-0.001687,N/A
CAP_USD,DISCOUNT/USD/6/10Y,-12694.908975,4.172472,3.625055,-0.002943,N/A
CAP_USD,DISCOUNT/USD/7/15Y,-12694.908975,0.002182,-0.008220,-0.000000,N/A
CAP_USD,FXSPOT/USDEUR,-12694.908975,-126.949090,N/A,-0.000000,N/A
CAP_USD,INDEX/USD-LIBOR-3M/0/6M,-12694.908975,0.001108,-0.006105,-0.000055,N/A
CAP_USD,INDEX/USD-LIBOR-3M/1/1Y,-12694.908975,0.333326,0.209047,-0.008183,N/A
CAP_USD,INDEX/USD-LIBOR-3M/2/2Y,-12694.908975,5.204206,3.130399,-0.192536,N/A
CAP_USD,INDEX/USD-LIBOR-3M/3/3Y,-12694.908975,17.202499,14.957733,-0.697293,N/A
CAP_USD,INDEX/USD-LIBOR-3M/4/5Y,-12694.908975,23.464864,35.734092,-2.064436,N/A
CAP_USD,INDEX/USD-LIBOR-3M/5/7Y,-12694.908975,24.131403,46.349476,-3.727299,N/A
CAP_USD,INDEX/USD-LIBOR-3M/6/10Y,-12694.908975,-175.678217,-200.547053,-3.110476,N/A
CAP_USD,INDEX/USD-LIBOR-3M/7/15Y,-12694.908975,-0.579033,-0.043510,-0.000385,N/A
CC_SWAP_EUR_USD,DISCOUNT/EUR/0/6M,-21226633.935174,33.614353,155.717682,-0.001676,N/A
CC_SWAP_EUR_USD,DISCOUNT/EUR/1/1Y,-21226633.935174,97.327848,123.936182,-0.008128,N/A
CC_SWAP_EUR_USD,DISCOUNT/EUR/2/2Y,-21226633.935174,263.436363,325.956310,-0.039284,N/A
CC_SWAP_EUR_USD,DISCOUNT/EUR/3/3Y,-21226633.935174,700.655932,731.261071,-0.146476,N/A
CC_SWAP_EUR_USD,DISCOUNT/EUR/4/5Y,-21226633.935174,1884.616606,1612.550042,-0.640455,N/A
CC_SWAP_EUR_USD,DISCOUNT/EUR/5/7Y,-21226633.935174,4168.915224,2798.874702,-1.970490,N/A
CC_SWAP_EUR_USD,DISCOUNT/EUR/6/10Y,-21226633.935174,89400.232783,90970.268747,-88.252793,N/A
CC_SWAP_EUR_USD,DISCOUNT/USD/0/6M,-21226633.935174,-19.117062,-85.815121,0.000953,N/A
CC_SWAP_EUR_USD,DISCOUNT/USD/1/1Y,-21226633.935174,-57.145157,40.173224,0.005010,N/A
CC_SWAP_EUR_USD,DISCOUNT/USD/2/2Y,-21226633.935174,-131.955738,97.550279,0.018821,N/A
CC_SWAP_EUR_USD,DISCOUNT/USD/3/3Y,-21226633.935174,-486.659051,219.183331,0.101313,N/A
CC_SWAP_EUR_USD,DISCOUNT/USD/4/5Y,-21226633.935174,-1309.928824,491.342533,0.445088,N/A
CC_SWAP_EUR_USD,DISCOUNT/USD/5/7Y,-21226633.935174,-2677.016606,874.203516,1.271491,N/A
CC_SWAP_EUR_USD,DISCOUNT/USD/6/10Y,-21226633.935174,-73507.472238,-79263.051981,72.833415,N/A
CC_SWAP_EUR_USD,FXSPOT/USDEUR,-21226633.935174,831562.641892,N/A,-0.000000,N/A
CC_SWAP_EUR_USD,INDEX/EUR-EURIBOR-6M/0/6M,-21226633.935174,4415.940193,4569.870564,-0.220198,N/A
CC_SWAP_EUR_USD,INDEX/EUR-EURIBOR-6M/1/1Y,-21226633.935174,24.788640,-198.800424,-1.329707,N/A
