#Sample,Regressor_0_USD,Regressor_1_GBP,Regressor_2_EUR-EURIBOR-3M,Regressor_3_USD-LIBOR-3M,Regressor_4_GBP-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,0.851011,1.231459,0.001727,0.009416,0.007474,2943169.110005,2638213.130081,2636072.185157,2637821.780433,568282.087026,3321907.110366
1,0.851911,1.222154,-0.000630,0.000607,0.002947,3234335.501860,2638179.671088,2636072.185157,2637821.780433,-867721.155690,3321907.110366
2,0.852194,1.179686,0.000396,0.006883,0.008365,3106088.759533,2638169.136239,2636072.185157,2637821.780433,1390171.400141,3321907.110366
3,0.855751,1.183489,0.001862,0.007624,0.004561,3110500.304475,2638037.145674,2636072.185157,2637821.780433,3274190.412541,3321907.110366
4,0.856477,1.227450,-0.002587,0.009318,0.008482,2616475.922638,2638010.196533,2636072.185157,2637821.780433,-1576103.897845,3321907.110366
5,0.857446,1.239101,-0.000944,0.011016,0.008493,2601365.307485,2637974.299465,2636072.185157,2637821.780433,-933286.580372,3321907.110366
6,0.858719,1.247836,-0.004169,0.006346,0.008228,2604764.264455,2637927.156937,2636072.185157,2637821.780433,-598845.584054,3321907.110366
7,0.859356,1.231286,-0.003374,0.004681,0.005914,2785527.856526,2637903.577428,2636072.185157,2637821.780433,581883.235474,3321907.110366
8,0.859389,1.235277,-0.001715,0.008586,0.007920,2682462.854535,2637902.374535,2636072.185157,2637821.780433,-168553.039656,3321907.110366
9,0.860304,1.218817,0.002354,0.012570,0.010386,2801471.006174,2637868.508934,2636072.185157,2637821.780433,-1254066.898572,3321907.110366
10,0.864132,1.241283,-0.000985,0.014656,0.007342,2294494.632508,2637727.088166,2636072.185157,2637821.780433,1129854.577279,3321907.110366
11,0.864504,1.232583,-0.000441,0.011726,0.008664,2565182.539958,2637713.358497,2636072.185157,2637821.780433,726136.214043,3321907.110366
12,0.868267,1.213822,-0.002179,0.008519,0.004252,2619966.991228,2637574.627900,2636072.185157,2637821.780433,-1042180.965420,3321907.110366
13,0.870728,1.210392,0.004641,0.011035,0.007560,2981722.635347,2637484.046007,2636072.185157,2637821.780433,1220302.824278,3321907.110366
14,0.870931,1.238300,-0.001528,0.010334,0.005223,2478495.360801,2637476.586387,2636072.185157,2637821.780433,-345777.923037,3321907.110366
15,0.872293,1.243908,-0.004007,0.006626,0.007152,2505165.997371,2637426.497618,2636072.185157,2637821.780433,534512.644163,3321907.110366
16,0.874414,1.233405,-0.000615,0.010644,0.011000,2563060.798434,2637348.618908,2636072.185157,2637821.780433,-216929.719591,3321907.110366
17,0.875056,1.221928,0.002352,0.009573,0.008015,2851897.331163,2637325.057278,2636072.185157,2637821.780433,-263541.115925,3321907.110366
18,0.877936,1.220432,-0.001040,0.008720,0.006071,2623016.817694,2637219.463432,2636072.185157,2637821.780433,-369443.111405,3321907.110366
19,0.878303,1.247156,0.000284,0.009715,0.003681,2572933.331068,2637206.019174,2636072.185157,2637821.780433,-210338.510917,3321907.110366
20,0.879774,1.214436,-0.000870,0.009881,0.005826,2565782.013223,2637152.171894,2636072.185157,2637821.780433,-1302826.207737,3321907.110366
21,0.880999,1.267449,0.001770,0.010490,0.010220,2614503.439555,2637107.360122,2636072.185157,2637821.780433,16881.561757,3321907.110366
22,0.881567,1.239055,-0.001266,0.007433,0.008766,2628748.674103,2637086.596960,2636072.185157,2637821.780433,-2740877.585361,3321907.110366
23,0.882560,1.230830,-0.000535,0.008151,0.006995,2643152.412700,2637050.305953,2636072.185157,2637821.780433,4477.542936,3321907.110366
