#Sample,Regressor_0_USD,Regressor_1_GBP,Regressor_2_EUR-EURIBOR-3M,Regressor_3_USD-LIBOR-3M,Regressor_4_GBP-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,0.851008,1.231455,0.001727,0.009416,0.007474,2943175.442739,2638214.715892,2636074.222417,2637823.368470,568292.590355,3321917.030757
1,0.851908,1.222150,-0.000630,0.000607,0.002947,3234341.240546,2638181.256587,2636074.222417,2637823.368470,-867734.664283,3321917.030757
2,0.852192,1.179683,0.000396,0.006883,0.008365,3106094.525602,2638170.721639,2636074.222417,2637823.368470,1390190.027452,3321917.030757
3,0.855748,1.183485,0.001862,0.007624,0.004561,3110505.470465,2638038.729840,2636074.222417,2637823.368470,3274191.672185,3321917.030757
4,0.856475,1.227446,-0.002587,0.009318,0.008482,2616478.571323,2638011.780447,2636074.222417,2637823.368470,-1576102.530417,3321917.030757
5,0.857444,1.239097,-0.000944,0.011016,0.008493,2601368.808598,2637975.883044,2636074.222417,2637823.368470,-933298.193198,3321917.030757
6,0.858717,1.247832,-0.004169,0.006346,0.008228,2604766.622008,2637928.740076,2636074.222417,2637823.368470,-598847.437675,3321917.030757
7,0.859354,1.231283,-0.003374,0.004681,0.005914,2785530.537925,2637905.160348,2636074.222417,2637823.368470,581895.046935,3321917.030757
8,0.859386,1.235273,-0.001715,0.008586,0.007920,2682466.214737,2637903.957443,2636074.222417,2637823.368470,-168546.537289,3321917.030757
9,0.860301,1.218813,0.002354,0.012570,0.010386,2801476.951987,2637870.091526,2636074.222417,2637823.368470,-1254064.514846,3321917.030757
10,0.864129,1.241279,-0.000985,0.014656,0.007342,2294495.284633,2637728.669439,2636074.222417,2637823.368470,1129852.930774,3321917.030757
11,0.864501,1.232579,-0.000441,0.011726,0.008664,2565185.572022,2637714.939643,2636074.222417,2637823.368470,726146.990385,3321917.030757
12,0.868264,1.213819,-0.002179,0.008519,0.004252,2619967.513612,2637576.207753,2636074.222417,2637823.368470,-1042180.951710,3321917.030757
13,0.870725,1.210389,0.004641,0.011035,0.007560,2981728.978220,2637485.625017,2636074.222417,2637823.368470,1220293.011836,3321917.030757
14,0.870928,1.238296,-0.001528,0.010334,0.005223,2478496.008125,2637478.165327,2636074.222417,2637823.368470,-345785.343721,3321917.030757
15,0.872291,1.243904,-0.004007,0.006626,0.007152,2505166.622180,2637428.076093,2636074.222417,2637823.368470,534517.151096,3321917.030757
16,0.874411,1.233401,-0.000615,0.010644,0.011000,2563064.163572,2637350.196659,2636074.222417,2637823.368470,-216938.650244,3321917.030757
17,0.875053,1.221925,0.002352,0.009573,0.008015,2851902.360343,2637326.634810,2636074.222417,2637823.368470,-263545.614249,3321917.030757
18,0.877934,1.220428,-0.001040,0.008720,0.006071,2623018.223896,2637221.039983,2636074.222417,2637823.368470,-369425.176428,3321917.030757
19,0.878301,1.247152,0.000284,0.009715,0.003681,2572934.845904,2637207.595600,2636074.222417,2637823.368470,-210333.697769,3321917.030757
20,0.879772,1.214432,-0.000870,0.009881,0.005826,2565782.717040,2637153.747820,2636074.222417,2637823.368470,-1302831.451764,3321917.030757
21,0.880996,1.267445,0.001770,0.010490,0.010220,2614508.546360,2637108.935632,2636074.222417,2637823.368470,16886.145504,3321917.030757
22,0.881564,1.239051,-0.001266,0.007433,0.008766,2628751.335287,2637088.172278,2636074.222417,2637823.368470,-2740873.655535,3321917.030757
23,0.882557,1.230827,-0.000535,0.008151,0.006995,2643154.587824,2637051.880933,2636074.222417,2637823.368470,4480.796830,3321917.030757
24,0.884621,1.233899,-0.003370,0.008561,0.008641,2377926.287960,2636976.526178,2636074.222417,2637823.368470,625472.280514,3321917.030757
25,0.884910,1.271007,0.000741,0.005912,0.003026,2724591.895950,2636965.970878,2636074.222417,2637823.368470,-77924.573533,3321917.030757
26,0.885129,1.198953,-0.002308,0.005755,0.008447,2728203.960213,2636957.978737,2636074.222417,2637823.368470,-877125.328926,3321917.030757
27,0.885202,1.200500,-0.002160,0.004858,0.006781,2775431.779448,2636955.326721,2636074.222417,2637823.368470,2173236.823759,3321917.030757
28,0.885502,1.195411,-0.000236,0.003908,0.000112,2931357.759464,2636944.378509,2636074.222417,2637823.368470,460611.538735,3321917.030757
29,0.887149,1.274427,-0.000756,0.011362,0.007234,2258630.461570,2636884.303264,2636074.222417,2637823.368470,7743.607889,3321917.030757
30,0.887205,1.241314,-0.000031,0.007581,0.007920,2662740.493122,2636882.265086,2636074.222417,2637823.368470,384681.863583,3321917.030757
31,0.890954,1.203473,0.002667,0.008906,0.005273,2836074.709298,2636745.763786,2636074.222417,2637823.368470,397853.982402,3321917.030757
32,0.893333,1.214665,0.001663,0.006615,0.007567,2866386.495699,2636659.308512,2636074.222417,2637823.368470,402292.906778,3321917.030757
