#TradeId,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,Base NPV,Delta,Gamma,Currency(Trade),Base NPV(Trade),Delta(Trade),Gamma(Trade)
FXFWD_EURUSD_10Y,false,DiscountCurve/EUR/0/2W,0.000000,,0.000000,EUR,173604.48,0.68,0.00,USD,194383.74,0.76,0.00
FXFWD_EURUSD_10Y,false,DiscountCurve/EUR/9/5Y,0.000000,,0.000000,EUR,173604.48,-83.33,0.01,USD,194383.74,-93.31,0.01
FXFWD_EURUSD_10Y,false,DiscountCurve/EUR/11/10Y,0.000000,,0.000000,EUR,173604.48,-833.88,0.70,USD,194383.74,-933.69,0.78
FXFWD_EURUSD_10Y,false,DiscountCurve/USD/0/2W,0.000000,,0.000000,EUR,173604.48,-0.68,0.00,USD,194383.74,-0.76,0.00
FXFWD_EURUSD_10Y,false,DiscountCurve/USD/9/5Y,0.000000,,0.000000,EUR,173604.48,68.87,-0.01,USD,194383.74,77.11,-0.01
FXFWD_EURUSD_10Y,false,DiscountCurve/USD/11/10Y,0.000000,,0.000000,EUR,173604.48,689.12,-0.58,USD,194383.74,771.60,-0.64
FXFWD_EURUSD_10Y,false,FXSpot/USDEUR/0/spot,0.008929,,0.000000,EUR,173604.48,-8264.30,0.00,USD,194383.74,-9253.48,0.00
FXFWD_EURUSD_10Y,false,DiscountCurve/EUR/9/5Y,0.000000,DiscountCurve/EUR/11/10Y,0.000000,EUR,173604.48,0.00,0.07,USD,194383.74,0.00,0.08
XCCY_Swap_EUR_USD,false,DiscountCurve/EUR/0/2W,0.000000,,0.000000,EUR,-4191.50,-24.85,0.00,EUR,-4191.50,-24.85,0.00
XCCY_Swap_EUR_USD,false,DiscountCurve/EUR/1/1M,0.000000,,0.000000,EUR,-4191.50,-0.23,0.00,EUR,-4191.50,-0.23,0.00
XCCY_Swap_EUR_USD,false,DiscountCurve/EUR/2/3M,0.000000,,0.000000,EUR,-4191.50,-0.95,0.00,EUR,-4191.50,-0.95,0.00
XCCY_Swap_EUR_USD,false,DiscountCurve/EUR/3/6M,0.000000,,0.000000,EUR,-4191.50,-1.55,0.00,EUR,-4191.50,-1.55,0.00
XCCY_Swap_EUR_USD,false,DiscountCurve/EUR/5/1Y,0.000000,,0.000000,EUR,-4191.50,-6.73,0.00,EUR,-4191.50,-6.73,0.00
XCCY_Swap_EUR_USD,false,DiscountCurve/EUR/6/2Y,0.000000,,0.000000,EUR,-4191.50,-13.49,0.00,EUR,-4191.50,-13.49,0.00
XCCY_Swap_EUR_USD,false,DiscountCurve/EUR/7/3Y,0.000000,,0.000000,EUR,-4191.50,-6.64,0.00,EUR,-4191.50,-6.64,0.00
XCCY_Swap_EUR_USD,false,DiscountCurve/EUR/9/5Y,0.000000,,0.000000,EUR,-4191.50,13181.60,-5.70,EUR,-4191.50,13181.60,-5.70
XCCY_Swap_EUR_USD,false,DiscountCurve/EUR/11/10Y,0.000000,,0.000000,EUR,-4191.50,4156.88,-0.57,EUR,-4191.50,4156.88,-0.57
XCCY_Swap_EUR_USD,false,DiscountCurve/USD/0/2W,0.000000,,0.000000,EUR,-4191.50,24.85,0.00,EUR,-4191.50,24.85,0.00
XCCY_Swap_EUR_USD,false,DiscountCurve/USD/1/1M,0.000000,,0.000000,EUR,-4191.50,-0.51,0.00,EUR,-4191.50,-0.51,0.00
XCCY_Swap_EUR_USD,false,DiscountCurve/USD/2/3M,0.000000,,0.000000,EUR,-4191.50,-3.01,0.00,EUR,-4191.50,-3.01,0.00
XCCY_Swap_EUR_USD,false,DiscountCurve/USD/3/6M,0.000000,,0.000000,EUR,-4191.50,-9.82,0.00,EUR,-4191.50,-9.82,0.00
XCCY_Swap_EUR_USD,false,DiscountCurve/USD/5/1Y,0.000000,,0.000000,EUR,-4191.50,-36.55,0.00,EUR,-4191.50,-36.55,0.00
XCCY_Swap_EUR_USD,false,DiscountCurve/USD/6/2Y,0.000000,,0.000000,EUR,-4191.50,-93.94,0.01,EUR,-4191.50,-93.94,0.01
XCCY_Swap_EUR_USD,false,DiscountCurve/USD/7/3Y,0.000000,,0.000000,EUR,-4191.50,-219.76,0.04,EUR,-4191.50,-219.76,0.04
