#Key,Factor,BaseValue,ShiftSize
DiscountCurve/EUR/0,DiscountCurve/EUR/0/2W,0.03700060,0.00010000
DiscountCurve/EUR/1,DiscountCurve/EUR/1/1M,0.03700229,0.00010000
DiscountCurve/EUR/2,DiscountCurve/EUR/2/3M,0.03757325,0.00010000
DiscountCurve/EUR/3,DiscountCurve/EUR/3/6M,0.03808899,0.00010000
DiscountCurve/EUR/4,DiscountCurve/EUR/4/1Y,0.03756674,0.00010000
DiscountCurve/EUR/5,DiscountCurve/EUR/5/2Y,0.03435278,0.00010000
DiscountCurve/EUR/6,DiscountCurve/EUR/6/3Y,0.03207652,0.00010000
DiscountCurve/EUR/7,DiscountCurve/EUR/7/5Y,0.03003416,0.00010000
DiscountCurve/EUR/8,DiscountCurve/EUR/8/10Y,0.02972911,0.00010000
DiscountCurve/EUR/9,DiscountCurve/EUR/9/15Y,0.03050407,0.00010000
DiscountCurve/EUR/10,DiscountCurve/EUR/10/20Y,0.02962899,0.00010000
DiscountCurve/EUR/11,DiscountCurve/EUR/11/30Y,0.02679113,0.00010000
DiscountCurve/USD/0,DiscountCurve/USD/0/2W,0.05368989,0.00010000
DiscountCurve/USD/1,DiscountCurve/USD/1/1M,0.05370820,0.00010000
DiscountCurve/USD/2,DiscountCurve/USD/2/3M,0.05392085,0.00010000
DiscountCurve/USD/3,DiscountCurve/USD/3/6M,0.05415621,0.00010000
DiscountCurve/USD/4,DiscountCurve/USD/4/1Y,0.05235178,0.00010000
DiscountCurve/USD/5,DiscountCurve/USD/5/2Y,0.04621436,0.00010000
DiscountCurve/USD/6,DiscountCurve/USD/6/3Y,0.04230206,0.00010000
DiscountCurve/USD/7,DiscountCurve/USD/7/5Y,0.03891845,0.00010000
DiscountCurve/USD/8,DiscountCurve/USD/8/10Y,0.03746806,0.00010000
DiscountCurve/USD/9,DiscountCurve/USD/9/15Y,0.03783124,0.00010000
DiscountCurve/USD/10,DiscountCurve/USD/10/20Y,0.03732876,0.00010000
DiscountCurve/USD/11,DiscountCurve/USD/11/30Y,0.03456169,0.00010000
IndexCurve/EUR-ESTER/0,IndexCurve/EUR-ESTER/0/2W,0.03700060,0.00010000
IndexCurve/EUR-ESTER/1,IndexCurve/EUR-ESTER/1/1M,0.03700229,0.00010000
IndexCurve/EUR-ESTER/2,IndexCurve/EUR-ESTER/2/3M,0.03757325,0.00010000
IndexCurve/EUR-ESTER/3,IndexCurve/EUR-ESTER/3/6M,0.03808899,0.00010000
IndexCurve/EUR-ESTER/4,IndexCurve/EUR-ESTER/4/1Y,0.03756674,0.00010000
IndexCurve/EUR-ESTER/5,IndexCurve/EUR-ESTER/5/2Y,0.03435278,0.00010000
IndexCurve/EUR-ESTER/6,IndexCurve/EUR-ESTER/6/3Y,0.03207652,0.00010000
IndexCurve/EUR-ESTER/7,IndexCurve/EUR-ESTER/7/5Y,0.03003416,0.00010000
IndexCurve/EUR-ESTER/8,IndexCurve/EUR-ESTER/8/10Y,0.02972911,0.00010000
IndexCurve/EUR-ESTER/9,IndexCurve/EUR-ESTER/9/15Y,0.03050407,0.00010000
IndexCurve/EUR-ESTER/10,IndexCurve/EUR-ESTER/10/20Y,0.02962899,0.00010000
IndexCurve/EUR-ESTER/11,IndexCurve/EUR-ESTER/11/30Y,0.02679113,0.00010000
IndexCurve/USD-SOFR/0,IndexCurve/USD-SOFR/0/2W,0.05368989,0.00010000
IndexCurve/USD-SOFR/1,IndexCurve/USD-SOFR/1/1M,0.05370820,0.00010000
IndexCurve/USD-SOFR/2,IndexCurve/USD-SOFR/2/3M,0.05392085,0.00010000
IndexCurve/USD-SOFR/3,IndexCurve/USD-SOFR/3/6M,0.05415621,0.00010000
IndexCurve/USD-SOFR/4,IndexCurve/USD-SOFR/4/1Y,0.05235178,0.00010000
IndexCurve/USD-SOFR/5,IndexCurve/USD-SOFR/5/2Y,0.04621436,0.00010000
IndexCurve/USD-SOFR/6,IndexCurve/USD-SOFR/6/3Y,0.04230206,0.00010000
IndexCurve/USD-SOFR/7,IndexCurve/USD-SOFR/7/5Y,0.03891845,0.00010000
IndexCurve/USD-SOFR/8,IndexCurve/USD-SOFR/8/10Y,0.03746806,0.00010000
IndexCurve/USD-SOFR/9,IndexCurve/USD-SOFR/9/15Y,0.03783124,0.00010000
IndexCurve/USD-SOFR/10,IndexCurve/USD-SOFR/10/20Y,0.03732876,0.00010000
IndexCurve/USD-SOFR/11,IndexCurve/USD-SOFR/11/30Y,0.03456169,0.00010000
FXSpot/USDEUR/0,FXSpot/USDEUR/0/spot,0.90888434,0.00090888
FXVolatility/EURUSD/0,FXVolatility/EURUSD/0/2W/-7,0.09607644,0.00009608
FXVolatility/EURUSD/1,FXVolatility/EURUSD/1/1M/-7,0.09398936,0.00009399
FXVolatility/EURUSD/2,FXVolatility/EURUSD/2/3M/-7,0.09770309,0.00009770
FXVolatility/EURUSD/3,FXVolatility/EURUSD/3/6M/-7,0.10077974,0.00010078
FXVolatility/EURUSD/4,FXVolatility/EURUSD/4/1Y/-7,0.09995778,0.00009996
FXVolatility/EURUSD/5,FXVolatility/EURUSD/5/2Y/-7,0.09924280,0.00009924
FXVolatility/EURUSD/6,FXVolatility/EURUSD/6/3Y/-7,0.10081317,0.00010081
FXVolatility/EURUSD/7,FXVolatility/EURUSD/7/5Y/-7,0.11169979,0.00011170
FXVolatility/EURUSD/8,FXVolatility/EURUSD/8/10Y/-7,0.12040082,0.00012040
FXVolatility/EURUSD/9,FXVolatility/EURUSD/9/15Y/-7,0.12041600,0.00012042
FXVolatility/EURUSD/10,FXVolatility/EURUSD/10/20Y/-7,0.12041600,0.00012042
FXVolatility/EURUSD/11,FXVolatility/EURUSD/11/30Y/-7,0.12041600,0.00012042
FXVolatility/EURUSD/12,FXVolatility/EURUSD/12/2W/-6,0.09607644,0.00009608
FXVolatility/EURUSD/13,FXVolatility/EURUSD/13/1M/-6,0.09398936,0.00009399
FXVolatility/EURUSD/14,FXVolatility/EURUSD/14/3M/-6,0.09770309,0.00009770
FXVolatility/EURUSD/15,FXVolatility/EURUSD/15/6M/-6,0.10077974,0.00010078
FXVolatility/EURUSD/16,FXVolatility/EURUSD/16/1Y/-6,0.09995778,0.00009996
FXVolatility/EURUSD/17,FXVolatility/EURUSD/17/2Y/-6,0.09924280,0.00009924
FXVolatility/EURUSD/18,FXVolatility/EURUSD/18/3Y/-6,0.10081317,0.00010081
FXVolatility/EURUSD/19,FXVolatility/EURUSD/19/5Y/-6,0.11169979,0.00011170
FXVolatility/EURUSD/20,FXVolatility/EURUSD/20/10Y/-6,0.12040082,0.00012040
FXVolatility/EURUSD/21,FXVolatility/EURUSD/21/15Y/-6,0.12041600,0.00012042
