#Sample,Regressor_0_NPV,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,-32365071.062500,2531541.398947,0.000000,1787785.367552,1811162.637582,1731631.849903,1814981.645253
1,-23395558.500000,2351758.128439,0.000000,1787785.367552,1811162.637582,1100647.579935,1814981.645253
2,-22364906.500000,2330211.603010,0.000000,1787785.367552,1811162.637582,1324651.149579,1814981.645253
3,-21988821.781250,2322299.497558,0.000000,1787785.367552,1811162.637582,2471047.860215,1814981.645253
4,-21342529.875000,2308639.410633,0.000000,1787785.367552,1811162.637582,-3081058.637207,1814981.645253
5,-21000385.125000,2301374.983087,0.000000,1787785.367552,1811162.637582,897260.391230,1814981.645253
6,-20851028.062500,2298196.629749,0.000000,1787785.367552,1811162.637582,-1536099.588498,1814981.645253
7,-20603380.250000,2292916.917423,0.000000,1787785.367552,1811162.637582,638032.009151,1814981.645253
8,-20283627.937500,2286081.942016,0.000000,1787785.367552,1811162.637582,1733596.993583,1814981.645253
9,-20030408.375000,2280654.626230,0.000000,1787785.367552,1811162.637582,1250211.318022,1814981.645253
10,-19833690.132813,2276429.386084,0.000000,1787785.367552,1811162.637582,-234973.472017,1814981.645253
11,-19070886.250000,2259970.693133,0.000000,1787785.367552,1811162.637582,723377.733412,1814981.645253
12,-18859714.625000,2255393.106074,#N/A,1787785.367552,1811162.637582,402977.085597,1814981.645253
13,-17734690.250000,2230847.533664,0.000000,1787785.367552,1811162.637582,-502444.595946,1814981.645253
14,-17581932.500000,2227493.837366,0.000000,1787785.367552,1811162.637582,-1423837.874816,1814981.645253
15,-17473384.375000,2225107.662343,0.000000,1787785.367552,1811162.637582,1453843.309369,1814981.645253
16,-17376256.000000,2222970.352309,0.000000,1787785.367552,1811162.637582,-1314980.123993,1814981.645253
17,-17282867.738281,2220913.403899,0.000000,1787785.367552,1811162.637582,498551.952559,1814981.645253
18,-16598671.500000,2205784.949846,0.000000,1787785.367552,1811162.637582,-376698.087738,1814981.645253
19,-16291650.750000,2198962.497461,0.000000,1787785.367552,1811162.637582,-648693.570266,1814981.645253
20,-16220765.125000,2197384.304775,0.000000,1787785.367552,1811162.637582,-567003.725991,1814981.645253
21,-16065404.250000,2193921.390146,0.000000,1787785.367552,1811162.637582,-52001.868031,1814981.645253
22,-16007674.750000,2192633.235359,0.000000,1787785.367552,1811162.637582,-887092.007021,1814981.645253
23,-16000442.812500,2192471.811227,0.000000,1787785.367552,1811162.637582,-718683.165086,1814981.645253
24,-15989865.500000,2192235.693548,0.000000,1787785.367552,1811162.637582,-1363135.630659,1814981.645253
25,-15801406.593750,2188024.448047,0.000000,1787785.367552,1811162.637582,-751191.455082,1814981.645253
26,-15775808.500000,2187451.815418,0.000000,1787785.367552,1811162.637582,1067805.164492,1814981.645253
27,-15751656.531250,2186911.395315,0.000000,1787785.367552,1811162.637582,1117504.414931,1814981.645253
28,-15228116.125000,2175163.749064,0.000000,1787785.367552,1811162.637582,874171.074615,1814981.645253
29,-15133771.625000,2173040.013219,0.000000,1787785.367552,1811162.637582,-630308.719603,1814981.645253
30,-14996161.250000,2169938.616782,0.000000,1787785.367552,1811162.637582,2022003.133557,1814981.645253
31,-14742127.625000,2164201.653896,0.000000,1787785.367552,1811162.637582,578859.845821,1814981.645253
32,-14654334.375000,2162215.437611,0.000000,1787785.367552,1811162.637582,-446735.632725,1814981.645253
33,-14587957.707520,2160712.533603,0.000000,1787785.367552,1811162.637582,-1136496.538231,1814981.645253
34,-14513250.750000,2159019.763368,0.000000,1787785.367552,1811162.637582,68520.255221,1814981.645253
35,-14360778.492188,2155560.799334,0.000000,1787785.367552,1811162.637582,-333859.649453,1814981.645253
36,-14282307.625000,2153778.455187,0.000000,1787785.367552,1811162.637582,128052.869957,1814981.645253
37,-14106111.500000,2149771.049156,0.000000,1787785.367552,1811162.637582,1592777.576309,1814981.645253
38,-14105560.187500,2149758.498377,#N/A,1787785.367552,1811162.637582,230014.926101,1814981.645253
39,-14026570.187500,2147959.511501,0.000000,1787785.367552,1811162.637582,615139.076668,1814981.645253
40,-13957072.437500,2146375.462456,0.000000,1787785.367552,1811162.637582,806932.954106,1814981.645253
41,-13832524.750000,2143533.741922,0.000000,1787785.367552,1811162.637582,-388109.466657,1814981.645253
42,-13737419.187500,2141361.243181,0.000000,1787785.367552,1811162.637582,-795998.255787,1814981.645253
43,-13719806.500000,2140958.674190,0.000000,1787785.367552,1811162.637582,-531558.825856,1814981.645253
44,-13703328.562500,2140581.973360,0.000000,1787785.367552,1811162.637582,285943.390385,1814981.645253
45,-13579878.000000,2137757.668248,0.000000,1787785.367552,1811162.637582,1668622.923925,1814981.645253
46,-13524565.437500,2136491.014858,0.000000,1787785.367552,1811162.637582,-2052140.352457,1814981.645253
47,-13501244.750000,2135956.747815,0.000000,1787785.367552,1811162.637582,-706314.586610,1814981.645253
48,-13414740.375000,2133973.801032,0.000000,1787785.367552,1811162.637582,-567992.727265,1814981.645253
49,-13322341.750000,2131853.702643,0.000000,1787785.367552,1811162.637582,-866242.359385,1814981.645253
50,-13137588.875000,2127608.188755,0.000000,1787785.367552,1811162.637582,-2656.240934,1814981.645253
51,-13085495.687500,2126409.585565,0.000000,1787785.367552,1811162.637582,1486910.366767,1814981.645253
52,-12933072.250000,2122898.613952,0.000000,1787785.367552,1811162.637582,934490.462754,1814981.645253
53,-12929643.187500,2122819.561011,0.000000,1787785.367552,1811162.637582,-1344353.608482,1814981.645253
54,-12796731.078125,2119753.159269,0.000000,1787785.367552,1811162.637582,-1104768.808378,1814981.645253
55,-12753626.500000,2118757.744932,0.000000,1787785.367552,1811162.637582,-1061866.621226,1814981.645253
56,-12742658.375000,2118504.383294,0.000000,1787785.367552,1811162.637582,565427.553236,1814981.645253
57,-12557093.000000,2114213.255552,0.001136,1787785.367552,1811162.637582,45646.972414,1814981.645253
58,-12523543.375000,2113436.503397,0.000000,1787785.367552,1811162.637582,-350012.086396,1814981.645253
59,-12255680.375000,2107224.580650,0.000000,1787785.367552,1811162.637582,-876844.224745,1814981.645253
60,-12171892.000000,2105277.708577,0.000000,1787785.367552,1811162.637582,698317.770393,1814981.645253
61,-12157542.562500,2104944.110378,0.000000,1787785.367552,1811162.637582,-234612.393915,1814981.645253
62,-12142204.531250,2104587.470713,0.000000,1787785.367552,1811162.637582,-1789545.576924,1814981.645253
63,-12103450.156250,2103686.085204,0.000000,1787785.367552,1811162.637582,-601003.827047,1814981.645253
64,-11908528.375000,2099146.542835,0.000000,1787785.367552,1811162.637582,-531343.843993,1814981.645253
65,-11881521.375000,2098516.801012,0.000000,1787785.367552,1811162.637582,7132.535980,1814981.645253
66,-11810519.468750,2096860.295813,0.000000,1787785.367552,1811162.637582,-383501.540222,1814981.645253
67,-11740939.875000,2095235.703227,0.025703,1787785.367552,1811162.637582,-781447.248676,1814981.645253
68,-11688870.000000,2094019.115153,0.000000,1787785.367552,1811162.637582,197724.966328,1814981.645253
69,-11646096.000000,2093019.191761,0.000000,1787785.367552,1811162.637582,767599.597446,1814981.645253
70,-11477963.250000,2089084.131788,0.000000,1787785.367552,1811162.637582,1571711.303932,1814981.645253
71,-11432716.750000,2088023.894483,0.000000,1787785.367552,1811162.637582,-137972.807718,1814981.645253
72,-11342820.062500,2085915.793954,0.000000,1787785.367552,1811162.637582,-91319.010627,1814981.645253
73,-11340797.000000,2085868.328103,0.000000,1787785.367552,1811162.637582,-1365718.247816,1814981.645253
74,-11095324.625000,2080100.924268,0.000000,1787785.367552,1811162.637582,285869.089605,1814981.645253
75,-11066833.625000,2079430.488645,0.000000,1787785.367552,1811162.637582,1602950.171993,1814981.645253
76,-11050176.671875,2079038.425607,0.000000,1787785.367552,1811162.637582,-1734833.064035,1814981.645253
77,-10954488.500000,2076784.731358,0.000000,1787785.367552,1811162.637582,954.959061,1814981.645253
78,-10915823.062500,2075873.370127,0.000000,1787785.367552,1811162.637582,244741.978440,1814981.645253
79,-10693581.000000,2070627.248902,0.000000,1787785.367552,1811162.637582,-935510.632378,1814981.645253
80,-10609672.750000,2068643.098137,0.000000,1787785.367552,1811162.637582,-417436.270352,1814981.645253
81,-10587861.000000,2068127.011133,0.000000,1787785.367552,1811162.637582,-511499.439873,1814981.645253
82,-10563849.656250,2067558.730662,0.000000,1787785.367552,1811162.637582,-1650935.845768,1814981.645253
83,-10549103.750000,2067209.659414,0.000000,1787785.367552,1811162.637582,-458095.521003,1814981.645253
84,-10519618.335938,2066511.491555,0.000000,1787785.367552,1811162.637582,-1026955.074908,1814981.645253
85,-10490567.375000,2065823.380094,0.000000,1787785.367552,1811162.637582,449061.216641,1814981.645253
86,-10277891.812500,2060778.872539,0.000000,1787785.367552,1811162.637582,570362.652214,1814981.645253
87,-10273785.852417,2060681.360686,0.000000,1787785.367552,1811162.637582,118952.901367,1814981.645253
88,-10265078.062500,2060474.545371,0.000000,1787785.367552,1811162.637582,77906.065858,1814981.645253
89,-10259957.937500,2060352.929591,0.000000,1787785.367552,1811162.637582,539469.784610,1814981.645253
90,-10257504.250000,2060294.645829,0.036349,1787785.367552,1811162.637582,-1190323.998283,1814981.645253
91,-10232994.875000,2059712.370917,0.000000,1787785.367552,1811162.637582,-220148.379403,1814981.645253
92,-10224398.500000,2059508.105845,0.000000,1787785.367552,1811162.637582,426946.889119,1814981.645253
93,-10196707.812500,2058849.988359,0.051406,1787785.367552,1811162.637582,1527510.622304,1814981.645253
94,-10196048.281250,2058834.310884,0.000000,1787785.367552,1811162.637582,-105177.118179,1814981.645253
95,-10170279.312500,2058221.672696,0.000000,1787785.367552,1811162.637582,-730178.384229,1814981.645253
96,-10156240.031250,2057887.822410,0.000000,1787785.367552,1811162.637582,911028.195489,1814981.645253
97,-10085604.250000,2056207.300335,0.000000,1787785.367552,1811162.637582,459506.428239,1814981.645253
98,-10001524.062500,2054205.125174,0.000000,1787785.367552,1811162.637582,187571.121739,1814981.645253
99,-9969106.375000,2053432.651496,0.000000,1787785.367552,1811162.637582,-775682.733228,1814981.645253
100,-9923689.500000,2052349.934142,0.000000,1787785.367552,1811162.637582,-443038.914412,1814981.645253
101,-9844982.500000,2050472.241682,0.000000,1787785.367552,1811162.637582,-544601.493955,1814981.645253
102,-9834202.250000,2050214.926156,0.000000,1787785.367552,1811162.637582,-258299.455582,1814981.645253
103,-9819548.250000,2049865.095672,0.000000,1787785.367552,1811162.637582,-113825.274544,1814981.645253
104,-9665558.625000,2046185.331689,0.000000,1787785.367552,1811162.637582,590368.027039,1814981.645253
105,-9640940.875000,2045596.447776,0.000000,1787785.367552,1811162.637582,1009080.324225,1814981.645253
106,-9528791.437500,2042911.560575,0.000000,1787785.367552,1811162.637582,1994716.601866,1814981.645253
107,-9402670.125000,2039887.961360,0.000000,1787785.367552,1811162.637582,515285.046705,1814981.645253
108,-9332654.125000,2038207.479967,0.000000,1787785.367552,1811162.637582,126955.083020,1814981.645253
109,-9318711.250000,2037872.666116,0.000000,1787785.367552,1811162.637582,229880.143765,1814981.645253
110,-9276500.625000,2036858.715984,0.000000,1787785.367552,1811162.637582,-3043511.041955,1814981.645253
111,-9148061.718750,2033770.349242,0.000000,1787785.367552,1811162.637582,-773047.297571,1814981.645253
112,-9101598.250000,2032651.960087,0.000000,1787785.367552,1811162.637582,238590.264522,1814981.645253
113,-9097866.703125,2032562.113977,#N/A,1787785.367552,1811162.637582,-489814.810396,1814981.645253
114,-9078240.390625,2032089.497150,#N/A,1787785.367552,1811162.637582,1953033.066866,1814981.645253
115,-8971259.625000,2029511.382333,0.000000,1787785.367552,1811162.637582,-218351.014929,1814981.645253
116,-8970282.250000,2029487.813610,0.000000,1787785.367552,1811162.637582,-396184.929933,1814981.645253
117,-8963352.281250,2029320.694347,0.000000,1787785.367552,1811162.637582,855065.503675,1814981.645253
118,-8959673.562500,2029231.974824,0.000000,1787785.367552,1811162.637582,620894.104772,1814981.645253
119,-8938513.250000,2028721.577013,0.000000,1787785.367552,1811162.637582,-1868542.540871,1814981.645253
120,-8928398.750000,2028477.564616,0.000000,1787785.367552,1811162.637582,1567618.507405,1814981.645253
121,-8904240.906250,2027894.637621,0.000000,1787785.367552,1811162.637582,333015.612023,1814981.645253
122,-8891125.031250,2027578.082326,0.000000,1787785.367552,1811162.637582,14485.599714,1814981.645253
123,-8872043.250000,2027117.449948,0.000000,1787785.367552,1811162.637582,1451225.004220,1814981.645253
124,-8798279.875000,2025335.823869,0.000000,1787785.367552,1811162.637582,-18832.000801,1814981.645253
125,-8795247.125000,2025262.539522,0.000000,1787785.367552,1811162.637582,613383.877439,1814981.645253
