number,value
1,0.00014739263364539417
2,2.6533105029543068e-05
3,1.158491558771442e-09
4,3.113698286438522e-10
5,1.0644654137595128e-10
6,1.6239532207589817e-11
7,2.314337575383953e-13
8,6.294948750753791e-12
