#Portfolio,RiskClass,RiskType,Quantile_0.010000,Quantile_0.050000,Quantile_0.950000,Quantile_0.990000,ExpectedShortfall_0.010000,ExpectedShortfall_0.050000,ExpectedShortfall_0.950000,ExpectedShortfall_0.990000
All,All,All,-874502.874530,-629898.758251,552878.029114,846747.430447,-949845.533394,-777808.333103,-46660.216653,-19301.216764
All,All,DeltaGamma,-874502.874530,-629898.758251,552878.029114,846747.430447,-949845.533394,-777808.333103,-46660.216653,-19301.216764
All,InterestRate,All,-63274.820389,-47022.474424,75704.146136,103062.394662,-68496.169001,-56659.031807,2840.586138,6221.907915
All,InterestRate,DeltaGamma,-63274.820389,-47022.474424,75704.146136,103062.394662,-68496.169001,-56659.031807,2840.586138,6221.907915
All,FX,All,-884243.685619,-636898.503103,534980.158696,806008.620044,-955310.750585,-776949.933008,-53409.935097,-26518.146700
All,FX,DeltaGamma,-884243.685619,-636898.503103,534980.158696,806008.620044,-955310.750585,-776949.933008,-53409.935097,-26518.146700
