#RiskFactor1,RiskFactor2,Correlation
"DiscountCurve/DKK/7","FXSpot/DKKEUR/0",-0.202025
"DiscountCurve/DKK/7","FXSpot/JPYEUR/0",-0.625483
"DiscountCurve/DKK/7","FXSpot/NOKEUR/0",-0.026116
"DiscountCurve/DKK/7","FXSpot/SEKEUR/0",0.269633
"DiscountCurve/DKK/7","FXSpot/TWDEUR/0",-0.261531
"DiscountCurve/DKK/7","FXSpot/USDEUR/0",-0.389255
"DiscountCurve/DKK/7","FXVolatility/EURUSD/7",-0.302124
"DiscountCurve/DKK/7","FXVolatility/NOKSEK/7",-0.097323
"DiscountCurve/DKK/7","FXVolatility/USDJPY/7",-0.075489
"DiscountCurve/DKK/7","EquitySpot/RIC:.SPX/0",0.204778
"DiscountCurve/DKK/7","EquitySpot/RIC:FISV.OQ/0",0.020176
"DiscountCurve/DKK/7","EquitySpot/RIC:KSS.N/0",0.175610
"DiscountCurve/DKK/7","EquitySpot/RIC:LHAG.DE/0",0.270964
"DiscountCurve/DKK/7","EquityVolatility/RIC:.SPX/7",-0.160324
"DiscountCurve/DKK/7","SurvivalProbability/RED:025ADX|SNRFOR|USD|CR14/3",-0.175927
"DiscountCurve/DKK/7","ZeroInflationCurve/EUHICPXT/4",0.452695
"DiscountCurve/EUR/7","DiscountCurve/JPY/7",0.392772
"DiscountCurve/EUR/7","DiscountCurve/NOK/7",0.724335
"DiscountCurve/EUR/7","DiscountCurve/SEK/7",0.816361
"DiscountCurve/EUR/7","DiscountCurve/TWD/7",0.046223
"DiscountCurve/EUR/7","DiscountCurve/USD/7",0.728288
"DiscountCurve/EUR/7","IndexCurve/DKK-DKKOIS/7",0.942625
"DiscountCurve/EUR/7","IndexCurve/EUR-EONIA/7",1.000000
"DiscountCurve/EUR/7","IndexCurve/EUR-EURIBOR-3M/7",0.987811
"DiscountCurve/EUR/7","IndexCurve/EUR-EURIBOR-6M/7",0.986009
"DiscountCurve/EUR/7","IndexCurve/SEK-STIBOR-3M/7",0.859870
"DiscountCurve/EUR/7","IndexCurve/USD-FedFunds/7",0.750065
"DiscountCurve/EUR/7","IndexCurve/USD-LIBOR-3M/7",0.738822
"DiscountCurve/EUR/7","OptionletVolatility/EUR-EURIBOR-6M/42",-0.046414
