#RiskFactor1,RiskFactor2,Correlation
"IndexCurve/EUR-EONIA/7","OptionletVolatility/EUR-EURIBOR-6M/44",-0.140207
"IndexCurve/EUR-EONIA/7","OptionletVolatility/EUR-EURIBOR-6M/45",0.045174
"IndexCurve/EUR-EONIA/7","OptionletVolatility/EUR-EURIBOR-6M/46",-0.072497
"IndexCurve/EUR-EONIA/7","OptionletVolatility/EUR-EURIBOR-6M/47",0.007198
"IndexCurve/EUR-EONIA/7","OptionletVolatility/SEK-STIBOR-3M/63",0.140533
"IndexCurve/EUR-EONIA/7","OptionletVolatility/SEK-STIBOR-3M/64",0.132744
"IndexCurve/EUR-EONIA/7","OptionletVolatility/SEK-STIBOR-3M/65",0.116332
"IndexCurve/EUR-EONIA/7","OptionletVolatility/SEK-STIBOR-3M/66",0.073862
"IndexCurve/EUR-EONIA/7","OptionletVolatility/SEK-STIBOR-3M/67",0.025344
"IndexCurve/EUR-EONIA/7","OptionletVolatility/SEK-STIBOR-3M/68",-0.003518
"IndexCurve/EUR-EONIA/7","OptionletVolatility/SEK-STIBOR-3M/69",-0.014917
"IndexCurve/EUR-EONIA/7","OptionletVolatility/SEK-STIBOR-3M/70",-0.021520
"IndexCurve/EUR-EONIA/7","OptionletVolatility/SEK-STIBOR-3M/71",-0.024645
"IndexCurve/EUR-EONIA/7","FXSpot/DKKEUR/0",-0.207872
"IndexCurve/EUR-EONIA/7","FXSpot/JPYEUR/0",-0.639560
"IndexCurve/EUR-EONIA/7","FXSpot/NOKEUR/0",-0.012767
"IndexCurve/EUR-EONIA/7","FXSpot/SEKEUR/0",0.251078
"IndexCurve/EUR-EONIA/7","FXSpot/TWDEUR/0",-0.252015
"IndexCurve/EUR-EONIA/7","FXSpot/USDEUR/0",-0.370198
"IndexCurve/EUR-EONIA/7","FXVolatility/EURUSD/7",-0.333617
"IndexCurve/EUR-EONIA/7","FXVolatility/NOKSEK/7",-0.128061
"IndexCurve/EUR-EONIA/7","FXVolatility/USDJPY/7",-0.100409
"IndexCurve/EUR-EONIA/7","EquitySpot/RIC:.SPX/0",0.220908
"IndexCurve/EUR-EONIA/7","EquitySpot/RIC:FISV.OQ/0",0.012322
"IndexCurve/EUR-EONIA/7","EquitySpot/RIC:KSS.N/0",0.184560
"IndexCurve/EUR-EONIA/7","EquitySpot/RIC:LHAG.DE/0",0.267519
"IndexCurve/EUR-EONIA/7","EquityVolatility/RIC:.SPX/7",-0.167076
"IndexCurve/EUR-EONIA/7","SurvivalProbability/RED:025ADX|SNRFOR|USD|CR14/3",-0.152171
"IndexCurve/EUR-EONIA/7","ZeroInflationCurve/EUHICPXT/4",0.441919
"IndexCurve/EUR-EURIBOR-3M/7","IndexCurve/EUR-EURIBOR-6M/7",0.997877
"IndexCurve/EUR-EURIBOR-3M/7","IndexCurve/SEK-STIBOR-3M/7",0.855498
"IndexCurve/EUR-EURIBOR-3M/7","IndexCurve/USD-FedFunds/7",0.752926
"IndexCurve/EUR-EURIBOR-3M/7","IndexCurve/USD-LIBOR-3M/7",0.744651
"IndexCurve/EUR-EURIBOR-3M/7","OptionletVolatility/EUR-EURIBOR-6M/42",-0.031763
"IndexCurve/EUR-EURIBOR-3M/7","OptionletVolatility/EUR-EURIBOR-6M/43",-0.104200
"IndexCurve/EUR-EURIBOR-3M/7","OptionletVolatility/EUR-EURIBOR-6M/44",-0.133040
"IndexCurve/EUR-EURIBOR-3M/7","OptionletVolatility/EUR-EURIBOR-6M/45",0.035966
"IndexCurve/EUR-EURIBOR-3M/7","OptionletVolatility/EUR-EURIBOR-6M/46",-0.074741
"IndexCurve/EUR-EURIBOR-3M/7","OptionletVolatility/EUR-EURIBOR-6M/47",0.006296
"IndexCurve/EUR-EURIBOR-3M/7","OptionletVolatility/SEK-STIBOR-3M/63",0.174282
"IndexCurve/EUR-EURIBOR-3M/7","OptionletVolatility/SEK-STIBOR-3M/64",0.165243
"IndexCurve/EUR-EURIBOR-3M/7","OptionletVolatility/SEK-STIBOR-3M/65",0.146772
"IndexCurve/EUR-EURIBOR-3M/7","OptionletVolatility/SEK-STIBOR-3M/66",0.100489
"IndexCurve/EUR-EURIBOR-3M/7","OptionletVolatility/SEK-STIBOR-3M/67",0.047098
"IndexCurve/EUR-EURIBOR-3M/7","OptionletVolatility/SEK-STIBOR-3M/68",0.013823
"IndexCurve/EUR-EURIBOR-3M/7","OptionletVolatility/SEK-STIBOR-3M/69",-0.001485
"IndexCurve/EUR-EURIBOR-3M/7","OptionletVolatility/SEK-STIBOR-3M/70",-0.010095
"IndexCurve/EUR-EURIBOR-3M/7","OptionletVolatility/SEK-STIBOR-3M/71",-0.015250
"IndexCurve/EUR-EURIBOR-3M/7","FXSpot/DKKEUR/0",-0.188142
"IndexCurve/EUR-EURIBOR-3M/7","FXSpot/JPYEUR/0",-0.616239
"IndexCurve/EUR-EURIBOR-3M/7","FXSpot/NOKEUR/0",-0.006949
"IndexCurve/EUR-EURIBOR-3M/7","FXSpot/SEKEUR/0",0.254658
"IndexCurve/EUR-EURIBOR-3M/7","FXSpot/TWDEUR/0",-0.239760
"IndexCurve/EUR-EURIBOR-3M/7","FXSpot/USDEUR/0",-0.358854
"IndexCurve/EUR-EURIBOR-3M/7","FXVolatility/EURUSD/7",-0.314056
"IndexCurve/EUR-EURIBOR-3M/7","FXVolatility/NOKSEK/7",-0.114078
"IndexCurve/EUR-EURIBOR-3M/7","FXVolatility/USDJPY/7",-0.097307
"IndexCurve/EUR-EURIBOR-3M/7","EquitySpot/RIC:.SPX/0",0.221673
"IndexCurve/EUR-EURIBOR-3M/7","EquitySpot/RIC:FISV.OQ/0",0.014304
"IndexCurve/EUR-EURIBOR-3M/7","EquitySpot/RIC:KSS.N/0",0.201878
"IndexCurve/EUR-EURIBOR-3M/7","EquitySpot/RIC:LHAG.DE/0",0.267086
"IndexCurve/EUR-EURIBOR-3M/7","EquityVolatility/RIC:.SPX/7",-0.167373
"IndexCurve/EUR-EURIBOR-3M/7","SurvivalProbability/RED:025ADX|SNRFOR|USD|CR14/3",-0.143086
"IndexCurve/EUR-EURIBOR-3M/7","ZeroInflationCurve/EUHICPXT/4",0.451108
"IndexCurve/EUR-EURIBOR-6M/7","IndexCurve/SEK-STIBOR-3M/7",0.851855
"IndexCurve/EUR-EURIBOR-6M/7","IndexCurve/USD-FedFunds/7",0.758128
"IndexCurve/EUR-EURIBOR-6M/7","IndexCurve/USD-LIBOR-3M/7",0.749557
"IndexCurve/EUR-EURIBOR-6M/7","OptionletVolatility/EUR-EURIBOR-6M/42",-0.035843
"IndexCurve/EUR-EURIBOR-6M/7","OptionletVolatility/EUR-EURIBOR-6M/43",-0.108960
"IndexCurve/EUR-EURIBOR-6M/7","OptionletVolatility/EUR-EURIBOR-6M/44",-0.137830
"IndexCurve/EUR-EURIBOR-6M/7","OptionletVolatility/EUR-EURIBOR-6M/45",0.035815
"IndexCurve/EUR-EURIBOR-6M/7","OptionletVolatility/EUR-EURIBOR-6M/46",-0.079356
"IndexCurve/EUR-EURIBOR-6M/7","OptionletVolatility/EUR-EURIBOR-6M/47",0.001569
"IndexCurve/EUR-EURIBOR-6M/7","OptionletVolatility/SEK-STIBOR-3M/63",0.169849
"IndexCurve/EUR-EURIBOR-6M/7","OptionletVolatility/SEK-STIBOR-3M/64",0.160961
"IndexCurve/EUR-EURIBOR-6M/7","OptionletVolatility/SEK-STIBOR-3M/65",0.142357
"IndexCurve/EUR-EURIBOR-6M/7","OptionletVolatility/SEK-STIBOR-3M/66",0.096999
"IndexCurve/EUR-EURIBOR-6M/7","OptionletVolatility/SEK-STIBOR-3M/67",0.044740
"IndexCurve/EUR-EURIBOR-6M/7","OptionletVolatility/SEK-STIBOR-3M/68",0.013241
"IndexCurve/EUR-EURIBOR-6M/7","OptionletVolatility/SEK-STIBOR-3M/69",-0.001057
"IndexCurve/EUR-EURIBOR-6M/7","OptionletVolatility/SEK-STIBOR-3M/70",-0.008493
"IndexCurve/EUR-EURIBOR-6M/7","OptionletVolatility/SEK-STIBOR-3M/71",-0.012819
"IndexCurve/EUR-EURIBOR-6M/7","FXSpot/DKKEUR/0",-0.184646
"IndexCurve/EUR-EURIBOR-6M/7","FXSpot/JPYEUR/0",-0.619075
"IndexCurve/EUR-EURIBOR-6M/7","FXSpot/NOKEUR/0",-0.000515
"IndexCurve/EUR-EURIBOR-6M/7","FXSpot/SEKEUR/0",0.246870
"IndexCurve/EUR-EURIBOR-6M/7","FXSpot/TWDEUR/0",-0.229382
"IndexCurve/EUR-EURIBOR-6M/7","FXSpot/USDEUR/0",-0.351575
"IndexCurve/EUR-EURIBOR-6M/7","FXVolatility/EURUSD/7",-0.322121
"IndexCurve/EUR-EURIBOR-6M/7","FXVolatility/NOKSEK/7",-0.116507
"IndexCurve/EUR-EURIBOR-6M/7","FXVolatility/USDJPY/7",-0.097039
"IndexCurve/EUR-EURIBOR-6M/7","EquitySpot/RIC:.SPX/0",0.234766
"IndexCurve/EUR-EURIBOR-6M/7","EquitySpot/RIC:FISV.OQ/0",0.022529
"IndexCurve/EUR-EURIBOR-6M/7","EquitySpot/RIC:KSS.N/0",0.212026
"IndexCurve/EUR-EURIBOR-6M/7","EquitySpot/RIC:LHAG.DE/0",0.276877
"IndexCurve/EUR-EURIBOR-6M/7","EquityVolatility/RIC:.SPX/7",-0.176691
"IndexCurve/EUR-EURIBOR-6M/7","SurvivalProbability/RED:025ADX|SNRFOR|USD|CR14/3",-0.154294
"IndexCurve/EUR-EURIBOR-6M/7","ZeroInflationCurve/EUHICPXT/4",0.457698
"IndexCurve/SEK-STIBOR-3M/7","IndexCurve/USD-FedFunds/7",0.668163
"IndexCurve/SEK-STIBOR-3M/7","IndexCurve/USD-LIBOR-3M/7",0.666479
"IndexCurve/SEK-STIBOR-3M/7","OptionletVolatility/EUR-EURIBOR-6M/42",-0.037224
"IndexCurve/SEK-STIBOR-3M/7","OptionletVolatility/EUR-EURIBOR-6M/43",-0.114932
"IndexCurve/SEK-STIBOR-3M/7","OptionletVolatility/EUR-EURIBOR-6M/44",-0.127384
"IndexCurve/SEK-STIBOR-3M/7","OptionletVolatility/EUR-EURIBOR-6M/45",0.034739
"IndexCurve/SEK-STIBOR-3M/7","OptionletVolatility/EUR-EURIBOR-6M/46",-0.071366
"IndexCurve/SEK-STIBOR-3M/7","OptionletVolatility/EUR-EURIBOR-6M/47",0.022332
"IndexCurve/SEK-STIBOR-3M/7","OptionletVolatility/SEK-STIBOR-3M/63",0.166790
"IndexCurve/SEK-STIBOR-3M/7","OptionletVolatility/SEK-STIBOR-3M/64",0.167298
"IndexCurve/SEK-STIBOR-3M/7","OptionletVolatility/SEK-STIBOR-3M/65",0.146667
"IndexCurve/SEK-STIBOR-3M/7","OptionletVolatility/SEK-STIBOR-3M/66",0.079949
"IndexCurve/SEK-STIBOR-3M/7","OptionletVolatility/SEK-STIBOR-3M/67",0.013616
"IndexCurve/SEK-STIBOR-3M/7","OptionletVolatility/SEK-STIBOR-3M/68",-0.032868
"IndexCurve/SEK-STIBOR-3M/7","OptionletVolatility/SEK-STIBOR-3M/69",-0.054018
"IndexCurve/SEK-STIBOR-3M/7","OptionletVolatility/SEK-STIBOR-3M/70",-0.068662
"IndexCurve/SEK-STIBOR-3M/7","OptionletVolatility/SEK-STIBOR-3M/71",-0.079517
"IndexCurve/SEK-STIBOR-3M/7","FXSpot/DKKEUR/0",-0.152486
"IndexCurve/SEK-STIBOR-3M/7","FXSpot/JPYEUR/0",-0.565752
"IndexCurve/SEK-STIBOR-3M/7","FXSpot/NOKEUR/0",0.078956
"IndexCurve/SEK-STIBOR-3M/7","FXSpot/SEKEUR/0",0.426481
"IndexCurve/SEK-STIBOR-3M/7","FXSpot/TWDEUR/0",-0.225798
"IndexCurve/SEK-STIBOR-3M/7","FXSpot/USDEUR/0",-0.303544
"IndexCurve/SEK-STIBOR-3M/7","FXVolatility/EURUSD/7",-0.289933
"IndexCurve/SEK-STIBOR-3M/7","FXVolatility/NOKSEK/7",-0.177350
"IndexCurve/SEK-STIBOR-3M/7","FXVolatility/USDJPY/7",-0.108492
"IndexCurve/SEK-STIBOR-3M/7","EquitySpot/RIC:.SPX/0",0.149972
"IndexCurve/SEK-STIBOR-3M/7","EquitySpot/RIC:FISV.OQ/0",-0.030654
"IndexCurve/SEK-STIBOR-3M/7","EquitySpot/RIC:KSS.N/0",0.152764
"IndexCurve/SEK-STIBOR-3M/7","EquitySpot/RIC:LHAG.DE/0",0.214409
"IndexCurve/SEK-STIBOR-3M/7","EquityVolatility/RIC:.SPX/7",-0.136411
"IndexCurve/SEK-STIBOR-3M/7","SurvivalProbability/RED:025ADX|SNRFOR|USD|CR14/3",-0.102908
"IndexCurve/SEK-STIBOR-3M/7","ZeroInflationCurve/EUHICPXT/4",0.448085
"IndexCurve/USD-FedFunds/7","IndexCurve/USD-LIBOR-3M/7",0.986939
"IndexCurve/USD-FedFunds/7","OptionletVolatility/EUR-EURIBOR-6M/42",-0.022709
"IndexCurve/USD-FedFunds/7","OptionletVolatility/EUR-EURIBOR-6M/43",-0.099788
"IndexCurve/USD-FedFunds/7","OptionletVolatility/EUR-EURIBOR-6M/44",-0.123095
"IndexCurve/USD-FedFunds/7","OptionletVolatility/EUR-EURIBOR-6M/45",0.015577
"IndexCurve/USD-FedFunds/7","OptionletVolatility/EUR-EURIBOR-6M/46",-0.005468
"IndexCurve/USD-FedFunds/7","OptionletVolatility/EUR-EURIBOR-6M/47",0.017411
"IndexCurve/USD-FedFunds/7","OptionletVolatility/SEK-STIBOR-3M/63",0.010825
"IndexCurve/USD-FedFunds/7","OptionletVolatility/SEK-STIBOR-3M/64",0.001168
"IndexCurve/USD-FedFunds/7","OptionletVolatility/SEK-STIBOR-3M/65",-0.002678
"IndexCurve/USD-FedFunds/7","OptionletVolatility/SEK-STIBOR-3M/66",-0.013416
"IndexCurve/USD-FedFunds/7","OptionletVolatility/SEK-STIBOR-3M/67",-0.016751
"IndexCurve/USD-FedFunds/7","OptionletVolatility/SEK-STIBOR-3M/68",-0.012074
"IndexCurve/USD-FedFunds/7","OptionletVolatility/SEK-STIBOR-3M/69",0.001979
"IndexCurve/USD-FedFunds/7","OptionletVolatility/SEK-STIBOR-3M/70",0.012960
"IndexCurve/USD-FedFunds/7","OptionletVolatility/SEK-STIBOR-3M/71",0.026313
"IndexCurve/USD-FedFunds/7","FXSpot/DKKEUR/0",-0.110448
"IndexCurve/USD-FedFunds/7","FXSpot/JPYEUR/0",-0.512140
"IndexCurve/USD-FedFunds/7","FXSpot/NOKEUR/0",0.139875
"IndexCurve/USD-FedFunds/7","FXSpot/SEKEUR/0",0.152649
"IndexCurve/USD-FedFunds/7","FXSpot/TWDEUR/0",0.033660
"IndexCurve/USD-FedFunds/7","FXSpot/USDEUR/0",-0.048644
"IndexCurve/USD-FedFunds/7","FXVolatility/EURUSD/7",-0.353799
"IndexCurve/USD-FedFunds/7","FXVolatility/NOKSEK/7",-0.202828
"IndexCurve/USD-FedFunds/7","FXVolatility/USDJPY/7",-0.199621
"IndexCurve/USD-FedFunds/7","EquitySpot/RIC:.SPX/0",0.387463
"IndexCurve/USD-FedFunds/7","EquitySpot/RIC:FISV.OQ/0",0.020468
"IndexCurve/USD-FedFunds/7","EquitySpot/RIC:KSS.N/0",0.351052
"IndexCurve/USD-FedFunds/7","EquitySpot/RIC:LHAG.DE/0",0.315906
"IndexCurve/USD-FedFunds/7","EquityVolatility/RIC:.SPX/7",-0.349244
"IndexCurve/USD-FedFunds/7","SurvivalProbability/RED:025ADX|SNRFOR|USD|CR14/3",-0.181999
"IndexCurve/USD-FedFunds/7","ZeroInflationCurve/EUHICPXT/4",0.531960
"IndexCurve/USD-LIBOR-3M/7","OptionletVolatility/EUR-EURIBOR-6M/42",-0.024926
"IndexCurve/USD-LIBOR-3M/7","OptionletVolatility/EUR-EURIBOR-6M/43",-0.103998
"IndexCurve/USD-LIBOR-3M/7","OptionletVolatility/EUR-EURIBOR-6M/44",-0.130001
"IndexCurve/USD-LIBOR-3M/7","OptionletVolatility/EUR-EURIBOR-6M/45",0.011785
"IndexCurve/USD-LIBOR-3M/7","OptionletVolatility/EUR-EURIBOR-6M/46",-0.016611
"IndexCurve/USD-LIBOR-3M/7","OptionletVolatility/EUR-EURIBOR-6M/47",0.010640
"IndexCurve/USD-LIBOR-3M/7","OptionletVolatility/SEK-STIBOR-3M/63",0.029735
"IndexCurve/USD-LIBOR-3M/7","OptionletVolatility/SEK-STIBOR-3M/64",0.022257
"IndexCurve/USD-LIBOR-3M/7","OptionletVolatility/SEK-STIBOR-3M/65",0.016433
"IndexCurve/USD-LIBOR-3M/7","OptionletVolatility/SEK-STIBOR-3M/66",0.001663
"IndexCurve/USD-LIBOR-3M/7","OptionletVolatility/SEK-STIBOR-3M/67",-0.005099
"IndexCurve/USD-LIBOR-3M/7","OptionletVolatility/SEK-STIBOR-3M/68",-0.001215
"IndexCurve/USD-LIBOR-3M/7","OptionletVolatility/SEK-STIBOR-3M/69",0.011675
"IndexCurve/USD-LIBOR-3M/7","OptionletVolatility/SEK-STIBOR-3M/70",0.022894
"IndexCurve/USD-LIBOR-3M/7","OptionletVolatility/SEK-STIBOR-3M/71",0.037605
"IndexCurve/USD-LIBOR-3M/7","FXSpot/DKKEUR/0",-0.104576
"IndexCurve/USD-LIBOR-3M/7","FXSpot/JPYEUR/0",-0.482680
"IndexCurve/USD-LIBOR-3M/7","FXSpot/NOKEUR/0",0.162863
"IndexCurve/USD-LIBOR-3M/7","FXSpot/SEKEUR/0",0.147447
"IndexCurve/USD-LIBOR-3M/7","FXSpot/TWDEUR/0",0.044712
"IndexCurve/USD-LIBOR-3M/7","FXSpot/USDEUR/0",-0.042795
"IndexCurve/USD-LIBOR-3M/7","FXVolatility/EURUSD/7",-0.323957
"IndexCurve/USD-LIBOR-3M/7","FXVolatility/NOKSEK/7",-0.196630
"IndexCurve/USD-LIBOR-3M/7","FXVolatility/USDJPY/7",-0.188165
"IndexCurve/USD-LIBOR-3M/7","EquitySpot/RIC:.SPX/0",0.376321
"IndexCurve/USD-LIBOR-3M/7","EquitySpot/RIC:FISV.OQ/0",0.029238
"IndexCurve/USD-LIBOR-3M/7","EquitySpot/RIC:KSS.N/0",0.362009
"IndexCurve/USD-LIBOR-3M/7","EquitySpot/RIC:LHAG.DE/0",0.291072
"IndexCurve/USD-LIBOR-3M/7","EquityVolatility/RIC:.SPX/7",-0.331061
"IndexCurve/USD-LIBOR-3M/7","SurvivalProbability/RED:025ADX|SNRFOR|USD|CR14/3",-0.155005
"IndexCurve/USD-LIBOR-3M/7","ZeroInflationCurve/EUHICPXT/4",0.540862
"OptionletVolatility/EUR-EURIBOR-6M/42","OptionletVolatility/EUR-EURIBOR-6M/43",0.944297
"OptionletVolatility/EUR-EURIBOR-6M/42","OptionletVolatility/EUR-EURIBOR-6M/44",0.751852
"OptionletVolatility/EUR-EURIBOR-6M/42","OptionletVolatility/EUR-EURIBOR-6M/45",0.142501
"OptionletVolatility/EUR-EURIBOR-6M/42","OptionletVolatility/EUR-EURIBOR-6M/46",0.629953
"OptionletVolatility/EUR-EURIBOR-6M/42","OptionletVolatility/EUR-EURIBOR-6M/47",0.648338
"OptionletVolatility/EUR-EURIBOR-6M/42","OptionletVolatility/SEK-STIBOR-3M/63",0.286250
"OptionletVolatility/EUR-EURIBOR-6M/42","OptionletVolatility/SEK-STIBOR-3M/64",0.313369
"OptionletVolatility/EUR-EURIBOR-6M/42","OptionletVolatility/SEK-STIBOR-3M/65",0.317704
"OptionletVolatility/EUR-EURIBOR-6M/42","OptionletVolatility/SEK-STIBOR-3M/66",0.325552
"OptionletVolatility/EUR-EURIBOR-6M/42","OptionletVolatility/SEK-STIBOR-3M/67",0.291000
"OptionletVolatility/EUR-EURIBOR-6M/42","OptionletVolatility/SEK-STIBOR-3M/68",0.240368
"OptionletVolatility/EUR-EURIBOR-6M/42","OptionletVolatility/SEK-STIBOR-3M/69",0.200336
"OptionletVolatility/EUR-EURIBOR-6M/42","OptionletVolatility/SEK-STIBOR-3M/70",0.163676
"OptionletVolatility/EUR-EURIBOR-6M/42","OptionletVolatility/SEK-STIBOR-3M/71",0.114293
"OptionletVolatility/EUR-EURIBOR-6M/42","FXSpot/DKKEUR/0",0.012881
"OptionletVolatility/EUR-EURIBOR-6M/42","FXSpot/JPYEUR/0",0.182877
"OptionletVolatility/EUR-EURIBOR-6M/42","FXSpot/NOKEUR/0",0.013687
"OptionletVolatility/EUR-EURIBOR-6M/42","FXSpot/SEKEUR/0",0.010582
"OptionletVolatility/EUR-EURIBOR-6M/42","FXSpot/TWDEUR/0",0.058112
"OptionletVolatility/EUR-EURIBOR-6M/42","FXSpot/USDEUR/0",0.145757
"OptionletVolatility/EUR-EURIBOR-6M/42","FXVolatility/EURUSD/7",0.115280
"OptionletVolatility/EUR-EURIBOR-6M/42","FXVolatility/NOKSEK/7",0.100677
"OptionletVolatility/EUR-EURIBOR-6M/42","FXVolatility/USDJPY/7",0.078148
"OptionletVolatility/EUR-EURIBOR-6M/42","EquitySpot/RIC:.SPX/0",-0.115926
"OptionletVolatility/EUR-EURIBOR-6M/42","EquitySpot/RIC:FISV.OQ/0",0.018426
"OptionletVolatility/EUR-EURIBOR-6M/42","EquitySpot/RIC:KSS.N/0",-0.099618
"OptionletVolatility/EUR-EURIBOR-6M/42","EquitySpot/RIC:LHAG.DE/0",-0.102564
"OptionletVolatility/EUR-EURIBOR-6M/42","EquityVolatility/RIC:.SPX/7",0.072447
"OptionletVolatility/EUR-EURIBOR-6M/42","SurvivalProbability/RED:025ADX|SNRFOR|USD|CR14/3",0.055477
"OptionletVolatility/EUR-EURIBOR-6M/42","ZeroInflationCurve/EUHICPXT/4",-0.105662
"OptionletVolatility/EUR-EURIBOR-6M/43","OptionletVolatility/EUR-EURIBOR-6M/44",0.863454
"OptionletVolatility/EUR-EURIBOR-6M/43","OptionletVolatility/EUR-EURIBOR-6M/45",0.167604
"OptionletVolatility/EUR-EURIBOR-6M/43","OptionletVolatility/EUR-EURIBOR-6M/46",0.564039
"OptionletVolatility/EUR-EURIBOR-6M/43","OptionletVolatility/EUR-EURIBOR-6M/47",0.574823
"OptionletVolatility/EUR-EURIBOR-6M/43","OptionletVolatility/SEK-STIBOR-3M/63",0.353021
"OptionletVolatility/EUR-EURIBOR-6M/43","OptionletVolatility/SEK-STIBOR-3M/64",0.379261
"OptionletVolatility/EUR-EURIBOR-6M/43","OptionletVolatility/SEK-STIBOR-3M/65",0.392279
"OptionletVolatility/EUR-EURIBOR-6M/43","OptionletVolatility/SEK-STIBOR-3M/66",0.409639
"OptionletVolatility/EUR-EURIBOR-6M/43","OptionletVolatility/SEK-STIBOR-3M/67",0.376158
"OptionletVolatility/EUR-EURIBOR-6M/43","OptionletVolatility/SEK-STIBOR-3M/68",0.318008
"OptionletVolatility/EUR-EURIBOR-6M/43","OptionletVolatility/SEK-STIBOR-3M/69",0.267850
"OptionletVolatility/EUR-EURIBOR-6M/43","OptionletVolatility/SEK-STIBOR-3M/70",0.222093
"OptionletVolatility/EUR-EURIBOR-6M/43","OptionletVolatility/SEK-STIBOR-3M/71",0.161889
"OptionletVolatility/EUR-EURIBOR-6M/43","FXSpot/DKKEUR/0",0.056431
"OptionletVolatility/EUR-EURIBOR-6M/43","FXSpot/JPYEUR/0",0.225370
"OptionletVolatility/EUR-EURIBOR-6M/43","FXSpot/NOKEUR/0",-0.042549
"OptionletVolatility/EUR-EURIBOR-6M/43","FXSpot/SEKEUR/0",0.010235
"OptionletVolatility/EUR-EURIBOR-6M/43","FXSpot/TWDEUR/0",0.042384
"OptionletVolatility/EUR-EURIBOR-6M/43","FXSpot/USDEUR/0",0.140990
"OptionletVolatility/EUR-EURIBOR-6M/43","FXVolatility/EURUSD/7",0.149100
"OptionletVolatility/EUR-EURIBOR-6M/43","FXVolatility/NOKSEK/7",0.148891
"OptionletVolatility/EUR-EURIBOR-6M/43","FXVolatility/USDJPY/7",0.103302
"OptionletVolatility/EUR-EURIBOR-6M/43","EquitySpot/RIC:.SPX/0",-0.178787
"OptionletVolatility/EUR-EURIBOR-6M/43","EquitySpot/RIC:FISV.OQ/0",0.007929
"OptionletVolatility/EUR-EURIBOR-6M/43","EquitySpot/RIC:KSS.N/0",-0.140088
"OptionletVolatility/EUR-EURIBOR-6M/43","EquitySpot/RIC:LHAG.DE/0",-0.131332
"OptionletVolatility/EUR-EURIBOR-6M/43","EquityVolatility/RIC:.SPX/7",0.109039
"OptionletVolatility/EUR-EURIBOR-6M/43","SurvivalProbability/RED:025ADX|SNRFOR|USD|CR14/3",0.093512
"OptionletVolatility/EUR-EURIBOR-6M/43","ZeroInflationCurve/EUHICPXT/4",-0.170103
"OptionletVolatility/EUR-EURIBOR-6M/44","OptionletVolatility/EUR-EURIBOR-6M/45",0.507191
"OptionletVolatility/EUR-EURIBOR-6M/44","OptionletVolatility/EUR-EURIBOR-6M/46",0.641157
"OptionletVolatility/EUR-EURIBOR-6M/44","OptionletVolatility/EUR-EURIBOR-6M/47",0.620791
"OptionletVolatility/EUR-EURIBOR-6M/44","OptionletVolatility/SEK-STIBOR-3M/63",0.297298
"OptionletVolatility/EUR-EURIBOR-6M/44","OptionletVolatility/SEK-STIBOR-3M/64",0.318606
"OptionletVolatility/EUR-EURIBOR-6M/44","OptionletVolatility/SEK-STIBOR-3M/65",0.328879
"OptionletVolatility/EUR-EURIBOR-6M/44","OptionletVolatility/SEK-STIBOR-3M/66",0.344298
"OptionletVolatility/EUR-EURIBOR-6M/44","OptionletVolatility/SEK-STIBOR-3M/67",0.324929
"OptionletVolatility/EUR-EURIBOR-6M/44","OptionletVolatility/SEK-STIBOR-3M/68",0.280326
"OptionletVolatility/EUR-EURIBOR-6M/44","OptionletVolatility/SEK-STIBOR-3M/69",0.241099
"OptionletVolatility/EUR-EURIBOR-6M/44","OptionletVolatility/SEK-STIBOR-3M/70",0.205165
"OptionletVolatility/EUR-EURIBOR-6M/44","OptionletVolatility/SEK-STIBOR-3M/71",0.157504
"OptionletVolatility/EUR-EURIBOR-6M/44","FXSpot/DKKEUR/0",0.062909
"OptionletVolatility/EUR-EURIBOR-6M/44","FXSpot/JPYEUR/0",0.217205
"OptionletVolatility/EUR-EURIBOR-6M/44","FXSpot/NOKEUR/0",-0.102378
"OptionletVolatility/EUR-EURIBOR-6M/44","FXSpot/SEKEUR/0",-0.008360
"OptionletVolatility/EUR-EURIBOR-6M/44","FXSpot/TWDEUR/0",0.020243
"OptionletVolatility/EUR-EURIBOR-6M/44","FXSpot/USDEUR/0",0.128574
"OptionletVolatility/EUR-EURIBOR-6M/44","FXVolatility/EURUSD/7",0.182914
"OptionletVolatility/EUR-EURIBOR-6M/44","FXVolatility/NOKSEK/7",0.161652
"OptionletVolatility/EUR-EURIBOR-6M/44","FXVolatility/USDJPY/7",0.091632
"OptionletVolatility/EUR-EURIBOR-6M/44","EquitySpot/RIC:.SPX/0",-0.194692
"OptionletVolatility/EUR-EURIBOR-6M/44","EquitySpot/RIC:FISV.OQ/0",-0.011316
"OptionletVolatility/EUR-EURIBOR-6M/44","EquitySpot/RIC:KSS.N/0",-0.164444
"OptionletVolatility/EUR-EURIBOR-6M/44","EquitySpot/RIC:LHAG.DE/0",-0.149663
"OptionletVolatility/EUR-EURIBOR-6M/44","EquityVolatility/RIC:.SPX/7",0.129904
"OptionletVolatility/EUR-EURIBOR-6M/44","SurvivalProbability/RED:025ADX|SNRFOR|USD|CR14/3",0.066264
"OptionletVolatility/EUR-EURIBOR-6M/44","ZeroInflationCurve/EUHICPXT/4",-0.168038
"OptionletVolatility/EUR-EURIBOR-6M/45","OptionletVolatility/EUR-EURIBOR-6M/46",0.322967
