number,value
1,4.9144936649319346e-05
2,8.846877641067412e-06
3,5.82566039467854e-10
4,2.1298948225571415e-10
5,9.254913949332787e-11
6,1.0861256211767673e-11
7,8.478795662698618e-14
8,9.74468069377584e-13
