#datumDate,datumId,datumValue
2023-08-07,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/10Y,-0.0029375000
2023-08-07,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/12Y,-0.0030125000
2023-08-07,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/15M,-0.0025500000
2023-08-07,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/15Y,-0.0030750000
2023-08-07,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/18M,-0.0027875000
2023-08-07,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/1Y,-0.0026250000
2023-08-07,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/20Y,-0.0029250000
2023-08-07,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/25Y,-0.0025125000
2023-08-07,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/2Y,-0.0026375000
2023-08-07,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/30Y,-0.0021750000
2023-08-07,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/3M,-0.0013000000
2023-08-07,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/3Y,-0.0026875000
2023-08-07,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/4Y,-0.0027250000
2023-08-07,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/5Y,-0.0027625000
2023-08-07,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/6M,-0.0028125000
2023-08-07,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/6Y,-0.0028000000
2023-08-07,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/7Y,-0.0028250000
2023-08-07,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/8Y,-0.0028625000
2023-08-07,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/9M,-0.0026875000
2023-08-07,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/9Y,-0.0029000000
2023-08-07,EQUITY/PRICE/RIC:.SPX/USD,4337.5000000000
2023-08-07,EQUITY/PRICE/RIC:.STOXX50E/EUR,4337.5000000000
2023-08-07,EQUITY_OPTION/PRICE/RIC:.SPX/USD/2023-08-18/4125/C,225.2000000000
2023-08-07,EQUITY_OPTION/PRICE/RIC:.SPX/USD/2023-08-18/4125/P,6.2000000000
2023-08-07,EQUITY_OPTION/PRICE/RIC:.SPX/USD/2023-08-18/4150/C,201.7000000000
2023-08-07,EQUITY_OPTION/PRICE/RIC:.SPX/USD/2023-08-18/4150/P,7.6000000000
2023-08-07,EQUITY_OPTION/PRICE/RIC:.SPX/USD/2023-08-18/4175/C,178.7000000000
2023-08-07,EQUITY_OPTION/PRICE/RIC:.SPX/USD/2023-08-18/4175/P,9.6000000000
2023-08-07,EQUITY_OPTION/PRICE/RIC:.SPX/USD/2023-08-18/4200/C,156.3000000000
2023-08-07,EQUITY_OPTION/PRICE/RIC:.SPX/USD/2023-08-18/4200/P,12.3000000000
2023-08-07,EQUITY_OPTION/PRICE/RIC:.SPX/USD/2023-08-18/4225/C,134.8000000000
2023-08-07,EQUITY_OPTION/PRICE/RIC:.SPX/USD/2023-08-18/4225/P,15.7000000000
2023-08-07,EQUITY_OPTION/PRICE/RIC:.SPX/USD/2023-08-18/4250/C,114.1000000000
2023-08-07,EQUITY_OPTION/PRICE/RIC:.SPX/USD/2023-08-18/4250/P,20.0000000000
2023-08-07,EQUITY_OPTION/PRICE/RIC:.SPX/USD/2023-08-18/4275/C,94.7000000000
2023-08-07,EQUITY_OPTION/PRICE/RIC:.SPX/USD/2023-08-18/4275/P,25.5000000000
2023-08-07,EQUITY_OPTION/PRICE/RIC:.SPX/USD/2023-08-18/4300/C,76.7000000000
2023-08-07,EQUITY_OPTION/PRICE/RIC:.SPX/USD/2023-08-18/4300/P,32.5000000000
2023-08-07,EQUITY_OPTION/PRICE/RIC:.SPX/USD/2023-08-18/4325/C,60.4000000000
2023-08-07,EQUITY_OPTION/PRICE/RIC:.SPX/USD/2023-08-18/4325/P,41.2000000000
2023-08-07,EQUITY_OPTION/PRICE/RIC:.SPX/USD/2023-08-18/4350/C,46.2000000000
