#fixingDate,fixingId,fixingValue
2024-02-05,EUR-EONIA,0.0399100000
2024-02-06,EUR-EONIA,0.0399200000
2024-02-07,EUR-EONIA,0.0399300000
2024-02-08,EUR-EONIA,0.0399300000
2024-02-09,EUR-EONIA,0.0399300000
2024-02-12,EUR-EONIA,0.0399500000
2024-02-13,EUR-EONIA,0.0399400000
2024-02-14,EUR-EONIA,0.0399400000
2024-02-15,EUR-EONIA,0.0399600000
2024-02-16,EUR-EONIA,0.0399600000
2024-02-19,EUR-EONIA,0.0399400000
2024-02-20,EUR-EONIA,0.0399500000
2024-02-21,EUR-EONIA,0.0399600000
2024-02-22,EUR-EONIA,0.0399500000
2024-02-23,EUR-EONIA,0.0399400000
2024-02-26,EUR-EONIA,0.0399200000
2024-02-27,EUR-EONIA,0.0398900000
2024-02-28,EUR-EONIA,0.0399000000
2024-02-29,EUR-EONIA,0.0399100000
2024-03-01,EUR-EONIA,0.0397200000
2024-03-04,EUR-EONIA,0.0398900000
2024-03-05,EUR-EONIA,0.0398800000
2024-03-06,EUR-EONIA,0.0399600000
2024-03-07,EUR-EONIA,0.0399000000
2024-03-08,EUR-EONIA,0.0399300000
2024-03-11,EUR-EONIA,0.0399200000
2024-03-12,EUR-EONIA,0.0398900000
2024-03-13,EUR-EONIA,0.0398900000
2024-03-14,EUR-EONIA,0.0399200000
2024-03-15,EUR-EONIA,0.0399300000
2024-03-18,EUR-EONIA,0.0399400000
2024-03-19,EUR-EONIA,0.0399400000
2024-03-20,EUR-EONIA,0.0399300000
2024-03-21,EUR-EONIA,0.0399300000
2024-03-22,EUR-EONIA,0.0399200000
2024-03-25,EUR-EONIA,0.0399400000
2024-03-26,EUR-EONIA,0.0399400000
2024-03-27,EUR-EONIA,0.0399100000
2024-03-28,EUR-EONIA,0.0399100000
2024-03-29,EUR-EONIA,0.0399100000
2024-04-01,EUR-EONIA,0.0399100000
2024-04-02,EUR-EONIA,0.0398400000
2024-04-03,EUR-EONIA,0.0399100000
2024-04-04,EUR-EONIA,0.0399600000
2024-04-05,EUR-EONIA,0.0399700000
2024-04-08,EUR-EONIA,0.0399200000
2024-04-09,EUR-EONIA,0.0399300000
2024-04-10,EUR-EONIA,0.0399400000
2024-04-11,EUR-EONIA,0.0399200000
2024-04-12,EUR-EONIA,0.0399200000
2024-04-15,EUR-EONIA,0.0399500000
2024-04-16,EUR-EONIA,0.0399200000
2024-04-17,EUR-EONIA,0.0399600000
2024-04-18,EUR-EONIA,0.0399300000
2024-04-19,EUR-EONIA,0.0399400000
2024-04-22,EUR-EONIA,0.0399500000
2024-04-23,EUR-EONIA,0.0399500000
2024-04-24,EUR-EONIA,0.0399300000
2024-04-25,EUR-EONIA,0.0399600000
2024-04-26,EUR-EONIA,0.0399400000
2024-04-29,EUR-EONIA,0.0399200000
2024-04-30,EUR-EONIA,0.0399100000
2024-05-01,EUR-EONIA,0.0399100000
2024-05-02,EUR-EONIA,0.0397400000
2024-05-03,EUR-EONIA,0.0399500000
2024-05-06,EUR-EONIA,0.0399300000
2024-05-07,EUR-EONIA,0.0399400000
2024-05-08,EUR-EONIA,0.0399100000
2024-05-09,EUR-EONIA,0.0399000000
2024-05-10,EUR-EONIA,0.0398600000
2024-05-13,EUR-EONIA,0.0399100000
2024-05-14,EUR-EONIA,0.0399200000
2024-05-15,EUR-EONIA,0.0399200000
2024-05-16,EUR-EONIA,0.0399300000
2024-05-17,EUR-EONIA,0.0398900000
2024-05-20,EUR-EONIA,0.0398600000
2024-05-21,EUR-EONIA,0.0398900000
2024-05-22,EUR-EONIA,0.0399700000
2024-05-23,EUR-EONIA,0.0399500000
2024-05-24,EUR-EONIA,0.0399700000
2024-05-27,EUR-EONIA,0.0399500000
2024-05-28,EUR-EONIA,0.0399600000
2024-05-29,EUR-EONIA,0.0399400000
2024-05-30,EUR-EONIA,0.0399400000
2024-05-31,EUR-EONIA,0.0399500000
2024-06-03,EUR-EONIA,0.0397700000
2024-02-05,EUR-ESTER,0.0390500000
2024-02-06,EUR-ESTER,0.0390600000
2024-02-07,EUR-ESTER,0.0390700000
2024-02-08,EUR-ESTER,0.0390800000
2024-02-09,EUR-ESTER,0.0390800000
2024-02-12,EUR-ESTER,0.0390800000
2024-02-13,EUR-ESTER,0.0391000000
2024-02-14,EUR-ESTER,0.0390900000
2024-02-15,EUR-ESTER,0.0390900000
2024-02-16,EUR-ESTER,0.0391100000
2024-02-19,EUR-ESTER,0.0391100000
2024-02-20,EUR-ESTER,0.0390900000
2024-02-21,EUR-ESTER,0.0391000000
2024-02-22,EUR-ESTER,0.0391100000
2024-02-23,EUR-ESTER,0.0391000000
2024-02-26,EUR-ESTER,0.0390900000
2024-02-27,EUR-ESTER,0.0390700000
2024-02-28,EUR-ESTER,0.0390400000
2024-02-29,EUR-ESTER,0.0390500000
2024-03-01,EUR-ESTER,0.0390600000
2024-03-04,EUR-ESTER,0.0388700000
2024-03-05,EUR-ESTER,0.0390400000
2024-03-06,EUR-ESTER,0.0390300000
2024-03-07,EUR-ESTER,0.0391100000
2024-03-08,EUR-ESTER,0.0390500000
2024-03-11,EUR-ESTER,0.0390800000
2024-03-12,EUR-ESTER,0.0390700000
2024-03-13,EUR-ESTER,0.0390400000
2024-03-14,EUR-ESTER,0.0390500000
2024-03-15,EUR-ESTER,0.0390700000
2024-03-18,EUR-ESTER,0.0390800000
2024-03-19,EUR-ESTER,0.0390900000
2024-03-20,EUR-ESTER,0.0390900000
2024-03-21,EUR-ESTER,0.0390800000
2024-03-22,EUR-ESTER,0.0390800000
2024-03-25,EUR-ESTER,0.0390700000
2024-03-26,EUR-ESTER,0.0390900000
2024-03-27,EUR-ESTER,0.0390900000
2024-03-28,EUR-ESTER,0.0390600000
2024-03-29,EUR-ESTER,0.0390600000
2024-04-01,EUR-ESTER,0.0390600000
2024-04-02,EUR-ESTER,0.0390600000
2024-04-03,EUR-ESTER,0.0389900000
2024-04-04,EUR-ESTER,0.0390600000
2024-04-05,EUR-ESTER,0.0391100000
2024-04-08,EUR-ESTER,0.0391200000
2024-04-09,EUR-ESTER,0.0390700000
2024-04-10,EUR-ESTER,0.0390800000
2024-04-11,EUR-ESTER,0.0390900000
2024-04-12,EUR-ESTER,0.0390700000
2024-04-15,EUR-ESTER,0.0390700000
2024-04-16,EUR-ESTER,0.0391000000
2024-04-17,EUR-ESTER,0.0390700000
2024-04-18,EUR-ESTER,0.0391100000
2024-04-19,EUR-ESTER,0.0390800000
2024-04-22,EUR-ESTER,0.0390900000
2024-04-23,EUR-ESTER,0.0391000000
2024-04-24,EUR-ESTER,0.0391000000
2024-04-25,EUR-ESTER,0.0390800000
2024-04-26,EUR-ESTER,0.0391100000
2024-04-29,EUR-ESTER,0.0390900000
2024-04-30,EUR-ESTER,0.0390600000
2024-05-01,EUR-ESTER,0.0390600000
2024-05-02,EUR-ESTER,0.0390600000
2024-05-03,EUR-ESTER,0.0388900000
2024-05-06,EUR-ESTER,0.0391000000
2024-05-07,EUR-ESTER,0.0390800000
2024-05-08,EUR-ESTER,0.0390900000
2024-05-09,EUR-ESTER,0.0390600000
2024-05-10,EUR-ESTER,0.0390500000
2024-05-13,EUR-ESTER,0.0390100000
2024-05-14,EUR-ESTER,0.0390600000
2024-05-15,EUR-ESTER,0.0390700000
2024-05-16,EUR-ESTER,0.0390700000
2024-05-17,EUR-ESTER,0.0390800000
2024-05-20,EUR-ESTER,0.0390400000
2024-05-21,EUR-ESTER,0.0390100000
2024-05-22,EUR-ESTER,0.0390400000
2024-05-23,EUR-ESTER,0.0391200000
2024-05-24,EUR-ESTER,0.0391000000
2024-05-27,EUR-ESTER,0.0391200000
2024-05-28,EUR-ESTER,0.0391000000
2024-05-29,EUR-ESTER,0.0391100000
2024-05-30,EUR-ESTER,0.0390900000
2024-05-31,EUR-ESTER,0.0390900000
2024-06-03,EUR-ESTER,0.0391000000
2024-05-27,EUR-EURIBOR-3M,0.0380000000
2024-05-28,EUR-EURIBOR-3M,0.0378500000
2024-05-29,EUR-EURIBOR-3M,0.0379400000
2024-05-30,EUR-EURIBOR-3M,0.0378800000
2024-05-31,EUR-EURIBOR-3M,0.0378500000
2024-06-03,EUR-EURIBOR-3M,0.0378200000
2024-05-27,EUR-EURIBOR-6M,0.0377500000
2024-05-28,EUR-EURIBOR-6M,0.0374900000
2024-05-29,EUR-EURIBOR-6M,0.0376800000
2024-05-30,EUR-EURIBOR-6M,0.0375900000
2024-05-31,EUR-EURIBOR-6M,0.0374500000
2024-06-03,EUR-EURIBOR-6M,0.0375500000
2024-06-04,EUR-EURIBOR-6M,0.0375500000
2024-06-05,EUR-EURIBOR-6M,0.0375500000
2024-06-06,EUR-EURIBOR-6M,0.0375500000
2024-02-05,USD-FedFunds,0.0533000000
2024-02-06,USD-FedFunds,0.0533000000
2024-02-07,USD-FedFunds,0.0533000000
2024-02-08,USD-FedFunds,0.0533000000
2024-02-09,USD-FedFunds,0.0533000000
2024-02-12,USD-FedFunds,0.0533000000
2024-02-13,USD-FedFunds,0.0533000000
2024-02-14,USD-FedFunds,0.0533000000
2024-02-15,USD-FedFunds,0.0533000000
2024-02-16,USD-FedFunds,0.0533000000
2024-02-19,USD-FedFunds,0.0533000000
2024-02-20,USD-FedFunds,0.0533000000
2024-02-21,USD-FedFunds,0.0533000000
2024-02-22,USD-FedFunds,0.0533000000
2024-02-23,USD-FedFunds,0.0533000000
2024-02-26,USD-FedFunds,0.0533000000
2024-02-27,USD-FedFunds,0.0533000000
2024-02-28,USD-FedFunds,0.0533000000
2024-02-29,USD-FedFunds,0.0533000000
2024-03-01,USD-FedFunds,0.0533000000
2024-03-04,USD-FedFunds,0.0533000000
2024-03-05,USD-FedFunds,0.0533000000
2024-03-06,USD-FedFunds,0.0533000000
2024-03-07,USD-FedFunds,0.0533000000
2024-03-08,USD-FedFunds,0.0533000000
2024-03-11,USD-FedFunds,0.0533000000
