#NettingSet,TimeStep,Date,Bound,Count
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,0,2025-03-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
CPTY_A,1,2025-04-10,2050575.125000,0
