#TradeId,Factor,Up/Down,Base NPV,ShiftSize_1,ShiftSize_2,Scenario NPV,Difference
CommodityOption_WTI_Oct_21,DiscountCurve/USD/5/7Y,Up,2361277.38,0.000000,#N/A,2360670.16,-607.21
CommodityOption_WTI_Oct_21,DiscountCurve/USD/4/5Y,Down,2361277.38,0.000100,#N/A,2362025.51,748.14
CommodityOption_WTI_Oct_21,DiscountCurve/USD/5/7Y,Down,2361277.38,0.000000,#N/A,2361884.75,607.37
CommodityOption_WTI_Oct_21,CommodityCurve/COMDTY_WTI_USD/1/5Y,Up,2361277.38,0.491389,#N/A,2470505.36,109227.98
CommodityOption_WTI_Oct_21,CommodityCurve/COMDTY_WTI_USD/2/10Y,Up,2361277.38,0.521287,#N/A,2381018.62,19741.24
CommodityOption_WTI_Oct_21,CommodityCurve/COMDTY_WTI_USD/1/5Y,Down,2361277.38,0.491389,#N/A,2254620.21,-106657.17
CommodityOption_WTI_Oct_21,CommodityCurve/COMDTY_WTI_USD/2/10Y,Down,2361277.38,0.521287,#N/A,2341621.75,-19655.63
CommodityOption_WTI_Oct_21,CommodityVolatility/COMDTY_WTI_USD/13/5Y/ATM,Up,2361277.38,0.000000,#N/A,2379211.10,17933.72
CommodityOption_WTI_Oct_21,CommodityVolatility/COMDTY_WTI_USD/21/5Y/1.167,Up,2361277.38,0.000000,#N/A,2361719.61,442.23
CommodityOption_WTI_Oct_21,CommodityVolatility/COMDTY_WTI_USD/15/10Y/ATM,Up,2361277.38,0.000000,#N/A,2366694.44,5417.06
CommodityOption_WTI_Oct_21,CommodityVolatility/COMDTY_WTI_USD/23/10Y/1.167,Up,2361277.38,0.000000,#N/A,2361410.98,133.60
CommodityOption_WTI_Oct_21,CommodityVolatility/COMDTY_WTI_USD/13/5Y/ATM,Down,2361277.38,0.000000,#N/A,2343386.22,-17891.16
CommodityOption_WTI_Oct_21,CommodityVolatility/COMDTY_WTI_USD/21/5Y/1.167,Down,2361277.38,0.000000,#N/A,2360839.46,-437.91
CommodityOption_WTI_Oct_21,CommodityVolatility/COMDTY_WTI_USD/15/10Y/ATM,Down,2361277.38,0.000000,#N/A,2355901.89,-5375.49
CommodityOption_WTI_Oct_21,CommodityVolatility/COMDTY_WTI_USD/23/10Y/1.167,Down,2361277.38,0.000000,#N/A,2361145.10,-132.28
