#Scenario,NettingSet,BaseCVA,CVA,StressCVA,BaseDVA,DVA,StressDVA
BASE,CPTY_A,89653.500879,89653.500879,0.000000,2622244.223317,2622244.223317,0.000000
eur_1d_up,CPTY_A,141758.317989,89653.500879,52104.817110,2431170.817531,2622244.223317,-191073.405786
