#TimeStep,Date,DaysInPeriod,ZeroOrderDIM,InitialMargin,AverageFLOW,SimpleDIM,NettingSet,Time
29,2017-03-31,18,2683285.011543,2683560.890979,0.000000,2650041.826885,CPTY_A,1.148207
30,2017-04-18,10,2771598.817006,2769204.963914,0.000000,2633074.143412,CPTY_A,1.197522
31,2017-04-28,14,2648986.805308,2647017.987710,0.000000,2625705.423743,CPTY_A,1.224920
32,2017-05-12,14,2684150.290143,2673556.181102,0.000000,2754061.787665,CPTY_A,1.263276
33,2017-05-26,14,2650509.165755,2649033.037445,0.000000,2779074.986870,CPTY_A,1.301632
34,2017-06-09,14,2654024.963656,2651772.556438,0.000000,2807545.060169,CPTY_A,1.339988
35,2017-06-23,14,2442172.533003,2442876.540745,0.000000,2279768.163146,CPTY_A,1.378344
36,2017-07-07,14,2850849.539729,2850946.331473,0.000000,2855642.806750,CPTY_A,1.416700
37,2017-07-21,14,2635333.720148,2634685.144957,0.000000,2508392.741352,CPTY_A,1.455057
38,2017-08-04,14,2639866.529040,2638823.346090,0.000000,2456697.482175,CPTY_A,1.493413
39,2017-08-18,14,2604259.684951,2600504.408729,0.000000,2723655.707926,CPTY_A,1.531769
40,2017-09-01,14,2663198.628904,2663353.903522,0.000000,2617078.330221,CPTY_A,1.570125
41,2017-09-15,14,2521711.308086,2521352.055819,0.000000,2510669.816829,CPTY_A,1.608481
42,2017-09-29,14,2585785.703305,2583512.099309,0.000000,2765650.389297,CPTY_A,1.646837
43,2017-10-13,14,2481559.034572,2480426.951451,0.000000,2421565.660863,CPTY_A,1.685194
44,2017-10-27,17,2509406.952956,2504561.440063,0.000000,2610315.354460,CPTY_A,1.723550
45,2017-11-13,11,2529961.586145,2531653.805708,0.000000,2511233.866559,CPTY_A,1.770125
46,2017-11-24,14,2509369.982612,2509420.067075,0.000000,2607327.118189,CPTY_A,1.800262
47,2017-12-08,14,2475625.035759,2476338.387929,0.000000,2469688.864980,CPTY_A,1.838618
48,2017-12-22,14,2535303.206254,2531658.909229,0.000000,2642866.488898,CPTY_A,1.876974
49,2018-01-05,14,2452461.553187,2452421.602633,0.000000,2253582.179631,CPTY_A,1.915330
50,2018-01-19,14,2527012.068782,2527443.580038,0.000000,2541654.113650,CPTY_A,1.953687
51,2018-02-02,14,2395272.487930,2393999.027064,0.000000,2497681.481254,CPTY_A,1.992043
52,2018-02-16,14,2359071.919586,2357843.887376,0.000000,2393057.290275,CPTY_A,2.030399
53,2018-03-02,14,2352471.376692,2350777.738547,0.000000,2415875.711926,CPTY_A,2.068755
54,2018-03-16,18,2233966.590195,2231974.289511,0.000000,2241851.320510,CPTY_A,2.107111
55,2018-04-03,10,2301762.526356,2297406.825534,0.000000,2147915.112873,CPTY_A,2.156426
56,2018-04-13,14,2250718.527869,2249972.056945,0.000000,2146221.889752,CPTY_A,2.183824
57,2018-04-27,14,2279264.408999,2277895.230987,0.000000,2197952.679359,CPTY_A,2.222180
58,2018-05-11,14,2267080.304004,2263967.717068,0.000000,2278199.972910,CPTY_A,2.260536
59,2018-05-25,14,2267353.803133,2250635.366830,0.000000,2432465.861881,CPTY_A,2.298892
60,2018-06-08,14,2273212.535740,2271915.984583,0.000000,2177076.407202,CPTY_A,2.337248
61,2018-06-22,14,2244560.180440,2245455.578429,0.000000,2172531.229819,CPTY_A,2.375604
