#TradeId,Factor,Up/Down,Base NPV,Scenario NPV,Difference
CVA,DiscountCurve/EUR/3/6M,Up,11392.42,11392.42,0.00
CVA,DiscountCurve/EUR/4/1Y,Up,11392.42,11392.42,0.00
CVA,DiscountCurve/EUR/5/2Y,Up,11392.42,11392.42,0.00
CVA,DiscountCurve/EUR/6/3Y,Up,11392.42,11392.39,-0.04
CVA,DiscountCurve/EUR/7/5Y,Up,11392.42,11392.01,-0.41
CVA,DiscountCurve/EUR/8/10Y,Up,11392.42,11389.95,-2.48
CVA,DiscountCurve/EUR/9/15Y,Up,11392.42,11386.44,-5.98
CVA,DiscountCurve/EUR/10/20Y,Up,11392.42,11383.82,-8.61
CVA,DiscountCurve/EUR/11/30Y,Up,11392.42,11392.38,-0.05
CVA,IndexCurve/EUR-EURIBOR-3M/9/15Y,Up,11392.42,11392.44,0.01
CVA,IndexCurve/EUR-EURIBOR-3M/10/20Y,Up,11392.42,11392.40,-0.02
CVA,IndexCurve/EUR-EURIBOR-6M/0/2W,Up,11392.42,11392.42,0.00
CVA,IndexCurve/EUR-EURIBOR-6M/1/1M,Up,11392.42,11392.46,0.03
CVA,IndexCurve/EUR-EURIBOR-6M/3/6M,Up,11392.42,11392.62,0.19
CVA,IndexCurve/EUR-EURIBOR-6M/4/1Y,Up,11392.42,11393.06,0.64
CVA,IndexCurve/EUR-EURIBOR-6M/5/2Y,Up,11392.42,11393.96,1.53
CVA,IndexCurve/EUR-EURIBOR-6M/6/3Y,Up,11392.42,11395.72,3.30
CVA,IndexCurve/EUR-EURIBOR-6M/7/5Y,Up,11392.42,11402.93,10.50
CVA,IndexCurve/EUR-EURIBOR-6M/8/10Y,Up,11392.42,11416.11,23.68
CVA,IndexCurve/EUR-EURIBOR-6M/9/15Y,Up,11392.42,11417.23,24.81
CVA,IndexCurve/EUR-EURIBOR-6M/10/20Y,Up,11392.42,11204.95,-187.47
CVA,IndexCurve/EUR-EURIBOR-6M/11/30Y,Up,11392.42,11389.72,-2.71
CVA,SwaptionVolatility/EUR/8/1Y/15Y/ATM,Up,11392.42,11394.71,2.28
CVA,SwaptionVolatility/EUR/9/1Y/20Y/ATM,Up,11392.42,11401.61,9.19
CVA,SwaptionVolatility/EUR/19/2Y/15Y/ATM,Up,11392.42,11398.46,6.04
CVA,SwaptionVolatility/EUR/20/2Y/20Y/ATM,Up,11392.42,11401.50,9.07
CVA,SwaptionVolatility/EUR/30/3Y/15Y/ATM,Up,11392.42,11401.54,9.12
CVA,SwaptionVolatility/EUR/31/3Y/20Y/ATM,Up,11392.42,11398.49,6.07
CVA,SwaptionVolatility/EUR/41/4Y/15Y/ATM,Up,11392.42,11405.33,12.90
CVA,SwaptionVolatility/EUR/42/4Y/20Y/ATM,Up,11392.42,11395.63,3.21
CVA,SwaptionVolatility/EUR/51/5Y/12Y/ATM,Up,11392.42,11395.15,2.73
CVA,SwaptionVolatility/EUR/52/5Y/15Y/ATM,Up,11392.42,11415.43,23.00
CVA,SwaptionVolatility/EUR/61/7Y/10Y/ATM,Up,11392.42,11394.96,2.54
CVA,SwaptionVolatility/EUR/62/7Y/12Y/ATM,Up,11392.42,11419.87,27.45
CVA,SwaptionVolatility/EUR/63/7Y/15Y/ATM,Up,11392.42,11404.03,11.60
CVA,SwaptionVolatility/EUR/71/10Y/7Y/ATM,Up,11392.42,11394.55,2.13
CVA,SwaptionVolatility/EUR/72/10Y/10Y/ATM,Up,11392.42,11415.13,22.71
CVA,SwaptionVolatility/EUR/73/10Y/12Y/ATM,Up,11392.42,11402.44,10.02
CVA,SwaptionVolatility/EUR/81/12Y/5Y/ATM,Up,11392.42,11394.18,1.76
CVA,SwaptionVolatility/EUR/82/12Y/7Y/ATM,Up,11392.42,11410.91,18.49
CVA,SwaptionVolatility/EUR/83/12Y/10Y/ATM,Up,11392.42,11400.71,8.28
CVA,SwaptionVolatility/EUR/88/15Y/1Y/ATM,Up,11392.42,11392.90,0.48
CVA,SwaptionVolatility/EUR/89/15Y/2Y/ATM,Up,11392.42,11393.62,1.20
CVA,SwaptionVolatility/EUR/90/15Y/3Y/ATM,Up,11392.42,11394.81,2.38
CVA,SwaptionVolatility/EUR/91/15Y/4Y/ATM,Up,11392.42,11398.22,5.79
CVA,SwaptionVolatility/EUR/92/15Y/5Y/ATM,Up,11392.42,11403.45,11.03
CVA,SwaptionVolatility/EUR/93/15Y/7Y/ATM,Up,11392.42,11399.17,6.75
CVA,SwaptionVolatility/EUR/99/20Y/1Y/ATM,Up,11392.42,11394.34,1.92
CVA,SwaptionVolatility/EUR/100/20Y/2Y/ATM,Up,11392.42,11394.23,1.81
CVA,SwaptionVolatility/EUR/101/20Y/3Y/ATM,Up,11392.42,11394.02,1.60
CVA,SwaptionVolatility/EUR/102/20Y/4Y/ATM,Up,11392.42,11393.86,1.44
CVA,SurvivalProbability/BANK/0/2W,Up,11392.42,11392.40,-0.03
CVA,SurvivalProbability/BANK/1/1M,Up,11392.42,11392.38,-0.04
CVA,SurvivalProbability/BANK/2/3M,Up,11392.42,11392.26,-0.16
CVA,SurvivalProbability/BANK/3/6M,Up,11392.42,11391.80,-0.62
CVA,SurvivalProbability/BANK/4/1Y,Up,11392.42,11391.70,-0.72
CVA,SurvivalProbability/BANK/5/2Y,Up,11392.42,11390.88,-1.54
CVA,SurvivalProbability/BANK/6/3Y,Up,11392.42,11390.64,-1.78
CVA,SurvivalProbability/BANK/7/5Y,Up,11392.42,11391.82,-0.61
CVA,SurvivalProbability/BANK/8/10Y,Up,11392.42,11403.26,10.84
CVA,SurvivalProbability/BANK/9/15Y,Up,11392.42,11419.29,26.87
CVA,SurvivalProbability/BANK/10/20Y,Up,11392.42,11418.30,25.87
CVA,SurvivalProbability/BANK/11/30Y,Up,11392.42,11392.56,0.14
