#RiskFactor,TradeId,NettingSetId,CVA_Base,CVA,Change
ALL,,,92722.5600,82945.2581,-9777.3019
ALL,Swap_20y,Swap_20y,161580.6945,152781.3672,-8799.3273
ALL,Swap_20y_USD,Swap_20y_USD,41820.7207,45551.8028,3731.0821
IndexCurve/EUR-EURIBOR-6M/19,,,92722.5600,93803.7551,1081.1950
IndexCurve/EUR-EURIBOR-6M/19,Swap_20y,Swap_20y,161580.6945,163141.7243,1561.0297
IndexCurve/EUR-EURIBOR-6M/19,Swap_20y_USD,Swap_20y_USD,41820.7207,41827.5894,6.8687
IndexCurve/EUR-EURIBOR-6M/20,,,92722.5600,78558.0206,-14164.5395
IndexCurve/EUR-EURIBOR-6M/20,Swap_20y,Swap_20y,161580.6945,137828.5722,-23752.1223
IndexCurve/EUR-EURIBOR-6M/20,Swap_20y_USD,Swap_20y_USD,41820.7207,41813.9496,-6.7711
SwaptionVolatility/EUR/41,,,92722.5600,92722.5600,0.0000
SwaptionVolatility/EUR/41,Swap_20y,Swap_20y,161580.6945,161580.6945,0.0000
SwaptionVolatility/EUR/41,Swap_20y_USD,Swap_20y_USD,41820.7207,41820.7207,0.0000
SwaptionVolatility/EUR/51,,,92722.5600,91881.6691,-840.8909
SwaptionVolatility/EUR/51,Swap_20y,Swap_20y,161580.6945,158840.5939,-2740.1006
SwaptionVolatility/EUR/51,Swap_20y_USD,Swap_20y_USD,41820.7207,41223.9342,-596.7865
SwaptionVolatility/EUR/52,,,92722.5600,92722.5600,0.0000
SwaptionVolatility/EUR/52,Swap_20y,Swap_20y,161580.6945,161580.6945,0.0000
SwaptionVolatility/EUR/52,Swap_20y_USD,Swap_20y_USD,41820.7207,41820.7207,0.0000
SurvivalProbability/CPTY_A/3,,,92722.5600,85343.1149,-7379.4451
SurvivalProbability/CPTY_A/3,Swap_20y,Swap_20y,161580.6945,154396.4295,-7184.2650
SurvivalProbability/CPTY_A/3,Swap_20y_USD,Swap_20y_USD,41820.7207,37857.7882,-3962.9325
SurvivalProbability/CPTY_A/4,,,92722.5600,105208.8992,12486.3392
SurvivalProbability/CPTY_A/4,Swap_20y,Swap_20y,161580.6945,188118.6393,26537.9447
SurvivalProbability/CPTY_A/4,Swap_20y_USD,Swap_20y_USD,41820.7207,50114.9427,8294.2220
