#TradeId,Type,CashflowNo,LegNo,PayDate,FlowType,Amount,Currency,Coupon,Accrual,AccrualStartDate,AccrualEndDate,AccruedAmount,fixingDate,fixingValue,Notional,DiscountFactor,PresentValue,FXRate(Local-Base),PresentValue(Base),BaseCurrency,FloorStrike,CapStrike,FloorVolatility,CapVolatility
CPI_Cap,CapFloor,1,0,2017-02-06,Inflation,508193.2707,EUR,0.0506672381,1.0030017217,2016-02-05,2017-02-06,0.0000,2016-11-06,101.3344762500,10000000.0000,1.0031836048,509811.1572432558,0.8119380000,413935.0513897747,GBP,#N/A,#N/A,#N/A,#N/A
CPI_Cap,CapFloor,2,0,2018-02-05,Inflation,507677.6508,EUR,0.0509072370,0.9972602740,2017-02-06,2018-02-05,0.0000,2017-11-05,101.8144739237,10000000.0000,1.0070372127,511250.2864057195,0.8119380000,415103.5350436871,GBP,#N/A,#N/A,#N/A,#N/A
CPI_Cap,CapFloor,3,0,2019-02-05,Inflation,513234.0362,EUR,0.0513234036,1.0000000000,2018-02-05,2019-02-05,0.0000,2018-11-05,102.6468072480,10000000.0000,1.0094751644,518097.0130929477,0.8119380000,420662.6526166618,GBP,#N/A,#N/A,#N/A,#N/A
CPI_Cap,CapFloor,4,0,2019-02-05,Index,10264680.7248,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,2018-11-05,102.6468072480,#N/A,1.0094751644,10361940.2618589532,0.8119380000,8413253.0523332357,GBP,#N/A,#N/A,#N/A,#N/A
CPI_Floor,CapFloor,1,0,2017-02-06,Inflation,508193.2707,EUR,0.0506672381,1.0030017217,2016-02-05,2017-02-06,0.0000,2016-11-06,101.3344762500,10000000.0000,1.0031836048,509811.1572432558,0.8119380000,413935.0513897747,GBP,#N/A,#N/A,#N/A,#N/A
CPI_Floor,CapFloor,2,0,2018-02-05,Inflation,507677.6508,EUR,0.0509072370,0.9972602740,2017-02-06,2018-02-05,0.0000,2017-11-05,101.8144739237,10000000.0000,1.0070372127,511250.2864057195,0.8119380000,415103.5350436871,GBP,#N/A,#N/A,#N/A,#N/A
CPI_Floor,CapFloor,3,0,2019-02-05,Inflation,513234.0362,EUR,0.0513234036,1.0000000000,2018-02-05,2019-02-05,0.0000,2018-11-05,102.6468072480,10000000.0000,1.0094751644,518097.0130929477,0.8119380000,420662.6526166618,GBP,#N/A,#N/A,#N/A,#N/A
CPI_Floor_SingleFlow,CapFloor,1,0,2019-02-05,Index,-10264680.7248,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,2018-11-05,102.6468072480,#N/A,1.0094751644,-10361940.2618589532,0.8119380000,-8413253.0523332357,GBP,#N/A,#N/A,#N/A,#N/A
YearOnYear_Cap,CapFloor,1,0,2017-02-06,Inflation,117954.5667,EUR,0.0117601560,1.0030017217,2016-02-05,2017-02-06,0.0000,2016-12-04,0.0117601560,10000000.0000,1.0031836048,118330.0874074839,0.8119380000,96076.6945094577,GBP,#N/A,#N/A,#N/A,#N/A
YearOnYear_Cap,CapFloor,2,0,2018-02-05,Inflation,130340.8589,EUR,0.0130698938,0.9972602740,2017-02-06,2018-02-05,0.0000,2017-12-03,0.0130698938,10000000.0000,1.0070372127,131258.0952802528,0.8119380000,106573.4353656579,GBP,#N/A,#N/A,#N/A,#N/A
YearOnYear_Cap,CapFloor,3,0,2019-02-05,Inflation,140034.5252,EUR,0.0140034525,1.0000000000,2018-02-05,2019-02-05,0.0000,2018-12-03,0.0140034525,10000000.0000,1.0094751644,141361.3753621604,0.8119380000,114776.6723888018,GBP,#N/A,#N/A,#N/A,#N/A
YearOnYear_Cap,CapFloor,4,0,2020-02-05,Inflation,145356.9959,EUR,0.0145395089,0.9997380043,2019-02-05,2020-02-05,0.0000,2019-12-03,0.0145395089,10000000.0000,1.0101588389,146833.6542172631,0.8119380000,119219.8235378562,GBP,#N/A,#N/A,#N/A,#N/A
YearOnYear_Cap,CapFloor,5,0,2021-02-05,Inflation,150821.2026,EUR,0.0150781698,1.0002619957,2020-02-05,2021-02-05,0.0000,2020-12-03,0.0150781698,10000000.0000,1.0089508155,152171.1753986712,0.8119380000,123553.5598108463,GBP,#N/A,#N/A,#N/A,#N/A
YearOnYear_Floor,CapFloor,1,0,2017-02-06,Inflation,117954.5667,EUR,0.0117601560,1.0030017217,2016-02-05,2017-02-06,0.0000,2016-12-04,0.0117601560,10000000.0000,1.0031836048,118330.0874074839,0.8119380000,96076.6945094577,GBP,#N/A,#N/A,#N/A,#N/A
YearOnYear_Floor,CapFloor,2,0,2018-02-05,Inflation,130340.8589,EUR,0.0130698938,0.9972602740,2017-02-06,2018-02-05,0.0000,2017-12-03,0.0130698938,10000000.0000,1.0070372127,131258.0952802528,0.8119380000,106573.4353656579,GBP,#N/A,#N/A,#N/A,#N/A
YearOnYear_Floor,CapFloor,3,0,2019-02-05,Inflation,140034.5252,EUR,0.0140034525,1.0000000000,2018-02-05,2019-02-05,0.0000,2018-12-03,0.0140034525,10000000.0000,1.0094751644,141361.3753621604,0.8119380000,114776.6723888018,GBP,#N/A,#N/A,#N/A,#N/A
