#Scenario,TradeId,NettingSetId,CVA,DVA,FBA,FCA,FBAexOwnSP,FCAexOwnSP,FBAexAllSP,FCAexAllSP,COLVA,MVA,OurKVACCR,TheirKVACCR,OurKVACVA,TheirKVACVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
BASE,,CPTY_A,57474.63,2659538.40,1268459.37,-8194.03,1364428.77,-9638.19,1426366.04,-10626.76,0.00,-25242.55,0.00,0.00,0.00,0.00,0.00,57474.63,2659538.40,None,0.00,0.00
BASE,BermSwp,CPTY_A,4326.29,140.76,60.05,-641.57,78.10,-725.50,91.34,-782.74,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,52628.30,52694.35
BASE,CC_SWAP_EUR_USD,CPTY_A,36954.02,2681835.38,1280045.36,-5446.33,1375087.45,-6197.01,1436225.77,-6692.08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,0.00,0.00
BASE,FX_CALL_OPTION,CPTY_A,16008.71,0.00,0.00,-2477.66,0.00,-2684.58,0.00,-2818.39,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,276951.21,276951.21
BASE,Swap_EUR,CPTY_A,38584.37,65925.84,30400.08,-5678.17,34680.77,-6470.38,37609.83,-7010.83,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,185376.70,196720.00
BASE,Swap_USD,CPTY_A,46695.67,49544.13,22939.86,-6937.74,25985.37,-7830.60,28057.11,-8434.97,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,304740.72,304740.72
eur_6m_up,,CPTY_A,86291.03,3147422.48,1505945.63,-12008.53,1610813.63,-14470.55,1678129.31,-16183.80,0.00,-25245.86,0.00,0.00,0.00,0.00,0.00,86291.03,3147422.48,None,0.00,0.00
eur_6m_up,BermSwp,CPTY_A,13095.97,66.53,28.08,-1944.41,37.19,-2196.12,43.97,-2367.55,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,159563.05,159563.05
eur_6m_up,CC_SWAP_EUR_USD,CPTY_A,28529.30,3416492.78,1634877.56,-4177.36,1748367.61,-4784.23,1821150.60,-5185.85,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,0.00,0.00
eur_6m_up,FX_CALL_OPTION,CPTY_A,16007.89,0.00,0.00,-2477.54,0.00,-2684.44,0.00,-2818.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,276946.25,276946.25
eur_6m_up,Swap_EUR,CPTY_A,179234.36,3625.73,1600.62,-27146.57,1965.98,-30056.65,2225.12,-32018.35,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,3274062.34,3356565.83
