#Scenario,NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
BASE,CPTY_A,2016-02-05,0.000000,0.00,27263928.00,0.00,-27263928.90,0.00,0.00,0.00,0.00
BASE,CPTY_A,2016-05-05,0.245902,0.00,26929560.00,0.00,0.00,0.00,0.00,0.00,0.00
BASE,CPTY_A,2016-08-05,0.497268,0.00,26728244.00,0.00,0.00,0.00,0.00,0.00,0.00
BASE,CPTY_A,2016-11-07,0.754098,0.00,26841986.00,0.00,0.00,0.00,0.00,0.00,0.00
BASE,CPTY_A,2017-02-06,1.003002,0.00,26206778.00,0.00,0.00,0.00,0.00,0.00,0.00
BASE,CPTY_A,2017-05-05,1.244098,0.00,26057420.00,0.00,0.00,0.00,0.00,0.00,0.00
BASE,CPTY_A,2017-08-07,1.501632,0.00,24727312.00,0.00,0.00,0.00,0.00,0.00,0.00
BASE,CPTY_A,2017-11-06,1.750947,16509.11,24796780.00,0.00,0.00,17101.27,17101.27,2435.03,2435.03
BASE,CPTY_A,2018-02-05,2.000262,210084.77,23633568.00,1621516.39,0.00,218704.01,218704.01,29391.05,29391.05
BASE,CPTY_A,2018-05-07,2.249577,35478.34,23714442.00,0.00,0.00,37119.14,218704.01,30247.54,50372.14
BASE,CPTY_A,2018-08-06,2.498892,82585.16,23056450.00,0.00,0.00,86838.09,218704.01,35893.59,67166.65
BASE,CPTY_A,2018-11-05,2.748207,423228.69,23249928.00,0.00,0.00,447256.82,447256.82,73212.12,101648.12
BASE,CPTY_A,2019-02-05,3.000262,578020.38,22246860.00,921632.02,0.00,613935.24,613935.24,118638.77,144685.83
BASE,CPTY_A,2019-05-06,3.246837,654277.31,21752394.00,4649432.34,0.00,698378.81,698378.81,162666.11,186735.07
BASE,CPTY_A,2019-08-05,3.496152,548143.13,21176822.00,0.00,0.00,588026.48,698378.81,192999.10,223221.04
BASE,CPTY_A,2019-11-05,3.748207,467714.50,21270440.00,0.00,0.00,504291.13,698378.81,213932.48,255173.86
BASE,CPTY_A,2020-02-05,4.000000,779275.19,20763250.00,5578857.42,0.00,844479.12,844479.12,253624.25,292269.56
BASE,CPTY_A,2020-05-05,4.245902,646584.56,20806270.00,7675104.29,0.00,704162.89,844479.12,279717.23,324250.81
BASE,CPTY_A,2020-08-05,4.497268,981966.81,20247004.00,6820544.34,0.00,1074835.85,1074835.85,324158.85,366203.32
BASE,CPTY_A,2020-11-05,4.748634,916955.44,20706000.00,9735748.33,0.00,1008767.55,1074835.85,360398.21,403714.36
BASE,CPTY_A,2021-02-05,5.000262,1127206.38,20296686.00,8709517.27,0.00,1246360.85,1246360.85,404982.49,446118.85
BASE,CPTY_A,2021-05-05,5.244098,1329398.25,20658978.00,15787321.56,0.00,1477139.00,1477139.00,454834.72,494058.35
BASE,CPTY_A,2021-08-05,5.496152,1444573.13,20170702.00,13365974.41,0.00,1613256.01,1613256.01,507960.18,545385.01
BASE,CPTY_A,2021-11-05,5.748207,1826144.13,20419154.00,14994315.74,0.00,2049728.57,2049728.57,575565.63,611349.40
BASE,CPTY_A,2022-02-07,6.005741,2504508.75,20275430.00,12011481.11,0.00,2825720.03,2825720.03,672055.27,706304.59
BASE,CPTY_A,2022-05-05,6.244098,2439083.75,19958086.00,9592194.31,0.00,2765103.53,2825720.03,751953.27,787209.11
BASE,CPTY_A,2022-08-05,6.496152,2996545.75,19865896.00,21815798.32,0.00,3414311.32,3414311.32,855254.44,889142.32
BASE,CPTY_A,2022-11-07,6.753687,2651238.50,19721778.00,15387208.03,0.00,3036520.98,3414311.32,938431.36,985433.07
BASE,CPTY_A,2023-02-06,7.003002,2824266.50,19257928.00,14383397.21,0.00,3250923.76,3414311.32,1020758.79,1071903.98
BASE,CPTY_A,2023-05-05,7.244098,3286791.75,19098856.00,17053703.70,0.00,3801677.53,3801677.53,1113312.50,1162755.48
BASE,CPTY_A,2023-08-07,7.501632,3034872.50,18621074.00,17810900.47,0.00,3528489.61,3801677.53,1196226.57,1253350.81
BASE,CPTY_A,2023-11-06,7.750947,3452446.00,19162216.00,17800050.40,0.00,4034121.02,4034121.02,1287509.59,1342796.39
BASE,CPTY_A,2024-02-05,8.000000,3177281.00,18735946.00,16506852.30,0.00,3731223.65,4034121.02,1363586.40,1426581.72
BASE,CPTY_A,2024-05-06,8.248634,3096664.75,18690188.00,22285039.10,0.00,3654798.10,4034121.02,1432649.09,1505179.30
BASE,CPTY_A,2024-08-05,8.497268,3481924.00,18463862.00,23419838.94,0.00,4130113.64,4130113.64,1511578.12,1581986.06
BASE,CPTY_A,2024-11-05,8.748634,3812286.75,18870374.00,24747164.96,0.00,4544914.03,4544914.03,1598732.06,1667117.03
BASE,CPTY_A,2025-02-05,9.000262,4341991.00,18795612.00,30462399.03,0.00,5202671.51,5202671.51,1699490.51,1765963.59
BASE,CPTY_A,2025-05-05,9.244098,4381405.00,18703068.00,28922630.89,0.00,5275660.35,5275660.35,1793820.71,1858540.40
BASE,CPTY_A,2025-08-05,9.496152,5222917.50,18757150.00,34372296.76,0.00,6320830.77,6320830.77,1913980.39,1976982.23
BASE,CPTY_A,2025-11-05,9.748207,5465301.00,19006282.00,36869829.08,0.00,6647719.51,6647719.51,2036378.45,2097751.28
BASE,CPTY_A,2026-02-05,10.000262,917266.13,429520.91,3210816.17,0.00,1121376.70,6647719.51,2013315.99,2212432.41
BASE,CPTY_A,2026-05-05,10.244098,798812.00,447832.75,2906318.58,0.00,981356.07,6647719.51,1988752.72,2318003.54
BASE,CPTY_A,2026-08-05,10.496152,789760.19,504568.53,3228727.22,0.00,975157.52,6647719.51,1964412.22,2421977.41
BASE,CPTY_A,2026-11-05,10.748207,714381.38,525099.06,3154265.41,0.00,886558.08,6647719.51,1939135.61,2521074.74
BASE,CPTY_A,2027-02-05,11.000262,709513.31,545548.69,3424255.17,0.00,884983.46,6647719.51,1914981.26,2615630.72
BASE,CPTY_A,2027-05-05,11.244098,811812.31,496237.09,3654281.47,0.00,1017550.77,6647719.51,1895519.90,2703069.21
BASE,CPTY_A,2027-08-05,11.496152,791672.44,533863.06,3149458.66,0.00,997340.65,6647719.51,1875827.19,2789556.23
